Emotion	Name	Artist
Power	Desire	MEG MYERS
Power	Toxicity	System Of A Down
Power	All I Want	The Offspring
Power	No One Knows	Queens of the Stone Age
Power	My Hero	Foo Fighters
Power	Deal With It (feat. Kelis)	Ashnikko
Power	Bring Me To Life	Evanescence
Power	Differently	Marian Hill
Power	The Rat	The Walkmen
Power	Under Pressure - Remastered 2011	Queen
Power	It's My Life	Bon Jovi
Power	Starlight	Muse
Power	Take Me Out	Franz Ferdinand
Power	Where U @	Slow J
Power	Highway to Hell	AC/DC
Power	Sound of Madness	Shinedown
Power	Dia De Folga	Ana Moura
Power	Eu vi este povo a lutar (Confederação)	José Mário Branco
Power	Shout Out to My Ex	Little Mix
Power	Juice	Lizzo
Power	A Noite Dos Alquimistas	Fausto
Power	A Memória Dos Dias	Fausto
Power	Dog Days Are Over	Florence + The Machine
Power	Unstoppable	Sia
Power	Legions of Doom	Audiomachine
Power	Strength of a Thousand Men	Two Steps from Hell
Power	"Symphony No. 9 in E Minor, Op. 95 ""From the New World"": IV. Allegro con fuoco"	Antonín Dvořák
Power	No Cars Go	Arcade Fire
Power	Gila Monster	King Gizzard & The Lizard Wizard
Power	Personal Jesus	Depeche Mode
Sadness	John Wayne Gacy, Jr.	Sufjan Stevens
Sadness	Sol Negro	Maria Bethânia
Sadness	Que O Amor Te Salve Nesta Noite Escura - Ao Vivo	Pedro Abrunhosa
Sadness	Moonlight Sonata (1st Movement)	Rousseau
Sadness	Moonlight Sonata, Opus 27 No. 2, 1st Movement	Royal Symphony Orchestra
Sadness	Against the Wind	Various Artists
Sadness	Sorriso	Diogo Piçarra
Sadness	One More Light	Linkin Park
Sadness	Minha mãe	José Afonso
Sadness	True Love Waits	Radiohead
Sadness	Irene	Rodrigo Amarante
Sadness	Head Above Water	Avril Lavigne
Sadness	Ó gente da minha terra	Mariza
Sadness	Para Os Braços Da Minha Mãe	Pedro Abrunhosa
Sadness	A Gente Vai Continuar	Jorge Palma
Sadness	On the Nature of Daylight	Max Richter
Sadness	Lag Fyrir Ömmu	Ólafur Arnalds
Sadness	Tears in Heaven	Eric Clapton
Sadness	Love You Goodbye	One Direction
Sadness	Two Cousins	Slow Club
Sadness	Will of the Scribes - Acoustic	Darren Korb
Sadness	Control	Zoe Wees
Sadness	Hurt	Johnny Cash
Sadness	Dumbledore's Farewell	Nicholas Hooper
Sadness	Sweet Child O Mine	Various Artists
Sadness	How to Save a Life	The Fray
Sadness	The Galaxy Last Moment!! A Phenomenally Awesome Guy	Dragon Ball
Sadness	"Adagio in G Minor ""Albinoni's Adagio"""	Berliner Philharmoniker
Sadness	Ne me quitte pas	Jacques Brel
