Emotion	Music1	start1	end1	link1	trackID1	Music2	start2	end2	link2	trackID2
Wonder	Blur - The universal	 02:32	 02:56	https://open.spotify.com/track/0qmCWYu7hOvriyuqXfPw7I?si=96e486b04b734063	0qmCWYu7hOvriyuqXfPw7I	LCD Soundsystem - Oh Baby	 03:46	 04:10	https://open.spotify.com/track/1Y5EqnpZLLoAp4RQQTr10O?si=3fbc2283aaf74a56	1Y5EqnpZLLoAp4RQQTr10O
Transcendence	Lisa Gerrard - Now we ar free	 01:51	 02:15	https://open.spotify.com/track/1elGwF4VwkwglV4nCBPJtv?si=160a924b7c4f4b81	1elGwF4VwkwglV4nCBPJtv	Ennio Morricone - The mission	 00:50	 01:14	https://open.spotify.com/track/4ypudCmFDkvLrj5DY6VJzj?si=1bc822c4c49f44f1	4ypudCmFDkvLrj5DY6VJzj
Tenderness	Sigur Ros - Hoppipólla	 00:00	 00:24	https://open.spotify.com/track/1YIAJ4gN1oh0KRb9Rb41Rd?si=8b44f422c4154e21	1YIAJ4gN1oh0KRb9Rb41Rd	The weepies - The world spins madly on	 00:34	 00:58	https://open.spotify.com/track/6NSlOEEtWlqvEFrjQsry77?si=534c7a6c1b4d4fe2	6NSlOEEtWlqvEFrjQsry77
Nostalgia	Kath Bloom - Come here	 00:00	 00:24	https://open.spotify.com/track/2A1bDBDHoKTTmyALQJ7zqU?si=021761b1353c498f	2A1bDBDHoKTTmyALQJ7zqU	Phosphorecent - Song for zula	 02:59	 03:23	https://open.spotify.com/track/6Thn8AOHIwPCkf2O4ZgfC2?si=08de825b74164c91	6Thn8AOHIwPCkf2O4ZgfC2
Peacefulness	Ennio Morricone - Gabriel's oboe	 01:23	 01:47	https://open.spotify.com/track/6opPrJUpq4Pl5c84eCwLmo?si=daff706aabf841ae	6opPrJUpq4Pl5c84eCwLmo	Sun kill moon - Gentle moon	 01:05	 01:29	https://open.spotify.com/track/0bYkLnTr1ddquKhvq85aio?si=b7e1981bdc0c423a	0bYkLnTr1ddquKhvq85aio
Power	Ana Moura - Dia de folga	 01:29	 01:53	https://open.spotify.com/track/1qziCx0BHzpd6LeSqx8vAq?si=918a6bbba9d14abe	1qziCx0BHzpd6LeSqx8vAq	José Mário Branco - Eu vi este povo a lutar	 03:45	 04:09	https://open.spotify.com/track/0MZl43LHqJXS1Vb3naePmi?si=c210367f771140ef	0MZl43LHqJXS1Vb3naePmi
Joyful activation	LCD Soundsystem - All my friends	 00:58	 01:22	https://open.spotify.com/track/2Ud3deeqLAG988pfW0Kwcl?si=2e8860084307429b	2Ud3deeqLAG988pfW0Kwcl	Billy Idol - Dancing with myself	 00:10	 00:34	https://open.spotify.com/track/1BY1Vd2Bt6JPOhMvsIwtVv?si=db0a042a0f914415	1BY1Vd2Bt6JPOhMvsIwtVv
Tension	Judas Preist - Painkiller	 00:20	 00:44	https://open.spotify.com/track/0L7zm6afBEtrNKo6C6Gj08?si=d568a0fd09a04676	0L7zm6afBEtrNKo6C6Gj08	The Doors - The end	 09:30	 09:54	https://open.spotify.com/track/5UgT7w6zVZjP3oyawMzbiK?si=b2d69c2126d64565	5UgT7w6zVZjP3oyawMzbiK
Sadness	Lana Del Rey - Young and beautiful	 00:32	 00:56	https://open.spotify.com/track/2nMeu6UenVvwUktBCpLMK9?si=7b6d0396dd4745a4	2nMeu6UenVvwUktBCpLMK9	Sufjan Stevens - Visions of gedeon	 00:07	 00:31	https://open.spotify.com/track/0SUDiaR0qm30fXVGPjPvRp?si=81f25049d6554bb2	0SUDiaR0qm30fXVGPjPvRp
