Emotion	Music1	start1	end1	link1	trackID1	Music2	start2	end2	link2	trackID2
Wonder	Don't Stop Me Now	 00:00	 00:24	https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7?si=43c246e8154243ef	5T8EDUDqKcs6OSOwEsfqG7	Im Good	 00:13	 00:37	https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK?si=e2ab8661621a4d0e	4uUG5RXrOk84mYEfFvj3cK
Transcendence	Intro	 00:01	 00:25	https://open.spotify.com/track/0bXpmJyHHYPk6QBFj25bYF?si=5c2cb4246d834fba	0bXpmJyHHYPk6QBFj25bYF	Numb	 00:00	 00:24	https://open.spotify.com/track/7rBpjxstrSsuOLqnuOC028?si=bf9cb9e83bc3448b	7rBpjxstrSsuOLqnuOC028
Tenderness	Wind Of Change	 00:00	 00:24	https://open.spotify.com/track/3ovjw5HZZv43SxTwApooCM?si=aa040da8101e4ad3	3ovjw5HZZv43SxTwApooCM	Just Breathe	 00:00	 00:24	https://open.spotify.com/track/3mQFj3pdKyArVUQRTxhQcH?si=6ae90dfa6dea451a	3mQFj3pdKyArVUQRTxhQcH
Nostalgia	Quero é viver	 00:00	 00:24	https://open.spotify.com/track/3qieYtq2M6PXHYPovh9iBl?si=1987b83b641a4565	3qieYtq2M6PXHYPovh9iBl	Menino	 00:48	 01:12	https://open.spotify.com/track/0UvQihfqIXMt8Bx8YOB0GP?si=f813c2d616cb4c7b	0UvQihfqIXMt8Bx8YOB0GP
Peacefulness	Have You Ever Seen The Rain?	 00:00	 00:24	https://open.spotify.com/track/2LawezPeJhN4AWuSB0GtAU?si=f343016473f0444c	2LawezPeJhN4AWuSB0GtAU	I Say a Little Prayer	 00:00	 00:24	https://open.spotify.com/track/3NfxSdJnVdon1axzloJgba?si=dd59f6eddf8849c7	3NfxSdJnVdon1axzloJgba
Power	Highway To Hell	 00:00	 00:24	https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s?si=d5e0d4d9963147bf	2zYzyRzz6pRmhPzyfMEC8s	Sound of Madness	 00:00	 00:24	https://open.spotify.com/track/1TRr8Pp2uOqL24fMHpJyV3?si=10fc997cbbf348da	1TRr8Pp2uOqL24fMHpJyV3
Joyful activation	Proud Mary	 02:34	 02:58	https://open.spotify.com/track/6gJdDnF2TzfA1WPMXuCa3x?si=7a3bdee859ae428e	6gJdDnF2TzfA1WPMXuCa3x	Burra	 00:26	 00:50	https://open.spotify.com/track/1DojFoewF8FyySBMbZ9TXt?si=6cfa9efe4117427c	1DojFoewF8FyySBMbZ9TXt
Tension	No Time to Die	 00:00	 00:24	https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR?si=a72d0704717e4f42	73SpzrcaHk0RQPFP73vqVR	Angel	 00:00	 00:24	https://open.spotify.com/track/3xZMPZQYETEn4hjor3TR1A?si=1389a642cb314004	3xZMPZQYETEn4hjor3TR1A
Sadness	Que o amor te salve	 00:16	 00:40	https://open.spotify.com/track/79JW4tqG3AigegX3sKRxgi?si=102c382a09d1418a	79JW4tqG3AigegX3sKRxgi	Ó gente da minha terra	 00:00	 00:24	https://open.spotify.com/track/6vliK4BzAAeQjIaz27I2Db?si=74a5d64a98ff4c97	6vliK4BzAAeQjIaz27I2Db
