Emotion	Music1	start1	end1	link1	trackID1	Music2	start2	end2	link2	trackID2
Wonder	kiss me	 00:39	 01:03	https://open.spotify.com/track/754kgU5rWscRTfvlsuEwFp?si=dbfc7b959c5642e1	754kgU5rWscRTfvlsuEwFp	cancao de engate	 04:02	 04:26	https://open.spotify.com/track/5v5Kra9bZOVKBXpfLVK2fP?si=a2b2544d406e447b	5v5Kra9bZOVKBXpfLVK2fP
Transcendence	arrival of the birds	 00:50	 01:14	https://open.spotify.com/track/0Gr2XQOIMaaUH86iOrWGur?si=054d6d5138bb4df8	0Gr2XQOIMaaUH86iOrWGur	gymnopedie 1	 00:00	 00:24	https://open.spotify.com/track/1b9bGEtNOmiMD5gq7dGrxn?si=bf91c18a38b24620	1b9bGEtNOmiMD5gq7dGrxn
Tenderness	what a difference a day made	 04:14	 04:38	https://open.spotify.com/track/5PbSvsljhgxijSYV5cG5xU?si=5fe806e316764752	5PbSvsljhgxijSYV5cG5xU	toxic	 01:06	 01:30	https://open.spotify.com/track/3tkLVA291cVPJLHlSSOjHN?si=aa8b89f42c8e4f87	3tkLVA291cVPJLHlSSOjHN
Nostalgia	sunrise	 00:23	 00:47	https://open.spotify.com/track/7zkLpY72g6lKQbiHDqri1S?si=660afd6b4c0a4dec	7zkLpY72g6lKQbiHDqri1S	better together	 00:44	 01:08	https://open.spotify.com/track/2iXdwVdzA0KrI2Q0iZNJbX?si=3a4495a575ec4a2c	2iXdwVdzA0KrI2Q0iZNJbX
Peacefulness	live your life	 00:06	 00:30	https://open.spotify.com/track/298GtxeVHZbbotHS1e3vxO?si=2c2c230645d04a5c	298GtxeVHZbbotHS1e3vxO	in the waiting line	 01:00	 01:24	https://open.spotify.com/track/5ARrtxJLVCeTv5TWo1oKgC?si=7574becf299d48ee	5ARrtxJLVCeTv5TWo1oKgC
Power	you oughta know	 00:50	 01:14	https://open.spotify.com/track/3jS7bB0oXVOwGFZn3aE5NV?si=ae32625a084d4353	3jS7bB0oXVOwGFZn3aE5NV	big in japan	 01:19	 01:43	https://open.spotify.com/track/3lQO10djAi0Ym506za76Wt?si=c2b45f79966245a3	3lQO10djAi0Ym506za76Wt
Joyful activation	another day of sun	 00:58	 01:22	https://open.spotify.com/track/5kRBzRZmZTXVg8okC7SJFZ?si=697f3da5cd684ece	5kRBzRZmZTXVg8okC7SJFZ	hey ya	 00:26	 00:50	https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM?si=f3a22448314f4582	2PpruBYCo4H7WOBJ7Q2EwM
Tension	coward	 07:58	 08:22	https://open.spotify.com/track/4GBZUZe04pHVN0TLhejCSS?si=a3594cb2d3de4691	4GBZUZe04pHVN0TLhejCSS	hope there's someone	 02:30	 02:54	https://open.spotify.com/track/1AHPsqF3EtHeWpOM06Y3Y4?si=aef9c5bedeee42d1	1AHPsqF3EtHeWpOM06Y3Y4
Sadness	to build a home	 00:00	 00:24	https://open.spotify.com/track/54KFQB6N4pn926IUUYZGzK?si=3ec5c206f32946e3	54KFQB6N4pn926IUUYZGzK	hope there's someone	 00:00	 00:24	https://open.spotify.com/track/1AHPsqF3EtHeWpOM06Y3Y4?si=39d67af3e717442a	1AHPsqF3EtHeWpOM06Y3Y4
