Emotion	Music1	start1	end1	link1	trackID1	Music2	start2	end2	link2	trackID2
Wonder	Rui Massena: aBem	 00:20	 00:44	https://open.spotify.com/track/5r0GJYtppL0xHfaAq3yw9V?si=2f97e3e1d85d462f	5r0GJYtppL0xHfaAq3yw9V	Ludovico Einaudi: Experience	 02:50	 03:14	https://open.spotify.com/track/1BncfTJAWxrsxyT9culBrj?si=33c043cf61a84a8c	1BncfTJAWxrsxyT9culBrj
Transcendence	Hans Zimmer: A way of life	 04:30	 04:54	https://open.spotify.com/track/6DHYWelHYuynVVPv2m58wl?si=67557d85361d45fa	6DHYWelHYuynVVPv2m58wl	Hans Zimmer: Chevaliers De Sangreal	 01:10	 01:34	https://open.spotify.com/track/64q5EfFKR9hYJ1FHqSClxe?si=cd97c47120f64e6f	64q5EfFKR9hYJ1FHqSClxe
Tenderness	Across the stars	 00:12	 00:36	https://open.spotify.com/track/7m9TFCZtij6DlsUldYSICm?si=057b65d2b2b94791	7m9TFCZtij6DlsUldYSICm	Two Steps from hell: Sun & Moon	 01:10	 01:34	https://open.spotify.com/track/3VJPYNpeHQS6qUX52uRExW?si=98376a37004e4ea7	3VJPYNpeHQS6qUX52uRExW
Nostalgia	Jorge Méndez: Cold	 01:00	 01:24	https://open.spotify.com/track/1LqFdwLKqa8Ep6q9LEUCih?si=9e6a8b336ba24d01	1LqFdwLKqa8Ep6q9LEUCih	Sleeping at Last: Saturn	 00:40	 01:04	https://open.spotify.com/track/3tJjZMHLqhD8DaGgdBICnc?si=0a106f6dfda74078	3tJjZMHLqhD8DaGgdBICnc
Peacefulness	Climb Together	 00:00	 00:24	https://open.spotify.com/track/3KBNq06Yv9uOGqbvm71bSs?si=74c088507ab040ec	3KBNq06Yv9uOGqbvm71bSs	Two Steps from hell: Breathe	 00:35	 00:59	https://open.spotify.com/track/23TXSzmuErPA3CAPsE2bme?si=a201ae3da4ca4a49	23TXSzmuErPA3CAPsE2bme
Power	Two Steps from hell: Strenght of a Thousand Men	 00:20	 00:44	https://open.spotify.com/track/3GJZLvGXaVszYdSBLMtJFX?si=7c6f472b14294d1b	3GJZLvGXaVszYdSBLMtJFX	Audiomachine: Legions of Doom	 00:58	 01:22	https://open.spotify.com/track/6kbFxKnhjvGAsCx0Reioej?si=5cee2e4a6f7249ae	6kbFxKnhjvGAsCx0Reioej
Joyful activation	The Killers: Human	 00:30	 00:54	https://open.spotify.com/track/1sTsuZTdANkiFd7T34H3nb?si=4cd3d7a0b92f4524	1sTsuZTdANkiFd7T34H3nb	Tal Bachman: She’s so High	 00:35	 00:59	https://open.spotify.com/track/7mnGQesk1TzQLzQ9bYWZPR?si=708e8e19a6524174	7mnGQesk1TzQLzQ9bYWZPR
Tension	Bunsen Burner	 01:00	 01:24	https://open.spotify.com/track/1IKnkAtTKion90wF8yxSgS?si=9dd19998b7c64f8c	1IKnkAtTKion90wF8yxSgS	The Turing Test	 01:30	 01:54	https://open.spotify.com/track/24tp9KQWD7EVkPiHcO1pPE?si=7f71edae78fb445c	24tp9KQWD7EVkPiHcO1pPE
Sadness	Ólafur Arnalds: Lag Fyrir Ommu	 02:00	 02:24	https://open.spotify.com/track/5NVM9GhtQLTTyF910jfHmy?si=7e27ad82146648b2	5NVM9GhtQLTTyF910jfHmy	Max Richter: On the Nature of Daylight	 01:40	 02:04	https://open.spotify.com/track/56oReVXIfUO9xkX7pHmEU0?si=f80e1aa9cc8042e6	56oReVXIfUO9xkX7pHmEU0
