Emotion	Music1	start1	end1	link1	trackID1	Music2	start2	end2	link2	trackID2
Wonder	I can see clearly now	 01:30	 01:54	https://open.spotify.com/intl-pt/track/5NrV5IwDOFcXHHUFTB8BUy?si=cfd05e9890854fb2	5NrV5IwDOFcXHHUFTB8BUy	The heart asks for pleasure first	 00:51	 01:15	https://open.spotify.com/intl-pt/track/4RW7EZi7SHSLRwvn1Q8Mqj?si=6189ca987556403f	4RW7EZi7SHSLRwvn1Q8Mqj
Transcendence	Day One (interstellar theme)	 00:48	 01:12	https://open.spotify.com/intl-pt/track/4WmB04GBqS4xPMYN9dHgBw?si=3115097918ca4fbe	4WmB04GBqS4xPMYN9dHgBw	Nuvole Bianchi	 00:31	 00:55	https://open.spotify.com/intl-pt/track/3weNRklVDqb4Rr5MhKBR3D?si=aab4ee3ae82a4596	3weNRklVDqb4Rr5MhKBR3D
Tenderness	All smiles	 00:42	 01:06	https://open.spotify.com/intl-pt/track/7LRzgZuP7H12oSC1CnC2jB?si=aae0c02a032046e0	7LRzgZuP7H12oSC1CnC2jB	Ballerina 	 00:25	 00:49	https://open.spotify.com/intl-pt/track/5lm18pjbwdth6ENVllxjfl?si=94f7b40c4b1a4481	5lm18pjbwdth6ENVllxjfl
Nostalgia	If I fell	 01:30	 01:54	https://open.spotify.com/intl-pt/track/3lAqHOGFBABytXxiPpDm6e?si=3a33728ac18841e4	3lAqHOGFBABytXxiPpDm6e	Somewhere over the rainbow 	 00:03	 00:27	https://open.spotify.com/intl-pt/track/1Lom3Qqs0HUPxqnmRVumKQ?si=4b28aeb9b6a84cce	1Lom3Qqs0HUPxqnmRVumKQ
Peacefulness	Claire de Lune	 00:32	 00:56	https://open.spotify.com/intl-pt/track/6Er8Fz6fuZNi5cvwQjv1ya?si=4d069482f99a42dc	6Er8Fz6fuZNi5cvwQjv1ya	Rivers flow in you	 01:30	 01:54	https://open.spotify.com/intl-pt/track/2agBDIr9MYDUducQPC1sFU?si=5f644c54550942f9	2agBDIr9MYDUducQPC1sFU
Power	Dog days are over	 01:04	 01:28	https://open.spotify.com/intl-pt/track/456WNXWhDwYOSf5SpTuqxd?si=1a80a99cf1b24623	456WNXWhDwYOSf5SpTuqxd	Unstoppable 	 00:34	 00:58	https://open.spotify.com/intl-pt/track/1yvMUkIOTeUNtNWlWRgANS?si=aa3b6af6b3bb4a3f	1yvMUkIOTeUNtNWlWRgANS
Joyful activation	What you know	 00:04	 00:28	https://open.spotify.com/intl-pt/track/3GBApU0NuzH4hKZq4NOSdA?si=01336b33fc7d4463	3GBApU0NuzH4hKZq4NOSdA	Feel it still	 02:00	 02:24	https://open.spotify.com/intl-pt/track/6QgjcU0zLnzq5OrUoSZ3OK?si=a84a304a5cc74380	6QgjcU0zLnzq5OrUoSZ3OK
Tension	Fuck authority	 00:00	 00:24	https://open.spotify.com/intl-pt/track/3Id64dLhfH7z0mmcylxuNp?si=8dc79463ffe64932	3Id64dLhfH7z0mmcylxuNp	Non, je ne regrette rien	 01:56	 02:20	https://open.spotify.com/intl-pt/track/3dkIE8P7hvl3tHl9KSb6dA?si=9c5a0b7c41cd49a8	3dkIE8P7hvl3tHl9KSb6dA
Sadness	Against the wind	 00:00	 00:24	https://open.spotify.com/intl-pt/track/1gIko0dsz3MIfVny2wo4Mc?si=49609555b3ce47de	1gIko0dsz3MIfVny2wo4Mc	Moonlight Sonata	 00:36	 01:00	https://open.spotify.com/intl-pt/track/5GHfUQGxnemWRbBe62KNpq?si=acb63c4e2f654fbb	5GHfUQGxnemWRbBe62KNpq
