Emotion	Music1	start1	end1	link1	trackID1	Music2	start2	end2	link2	trackID2
Wonder	Jurassic Park	 01:27	 01:51	https://open.spotify.com/track/2TZbQZXOuR8osP2AK8yYMN?si=633afc8e0b134e9b	2TZbQZXOuR8osP2AK8yYMN	A new hope	 06:43	 07:07	https://open.spotify.com/track/53PrLXXL4DY4OxHhx5y8Ch?si=8f507d62e1f047b7	53PrLXXL4DY4OxHhx5y8Ch
Transcendence	Lower your eyelids to die with the sun	 04:58	 05:22	https://open.spotify.com/track/5WMnCJcI1CGG33Uhn2tjMc?si=e8eee725c52a43d2	5WMnCJcI1CGG33Uhn2tjMc	From the mouth of Gabriel	 03:30	 03:54	https://open.spotify.com/track/5OJeyZweSMSZ1keNth2D3K?si=b9a83d62841a4966	5OJeyZweSMSZ1keNth2D3K
Tenderness	I will follow you into the dark	 01:39	 02:03	https://open.spotify.com/track/2ndWbjiiNBEOrlfToKlABE?si=f640351e6b1d4e26	2ndWbjiiNBEOrlfToKlABE	Dead Hearts	 00:50	 01:14	https://open.spotify.com/track/07EJDWnWJuiyDolsU4Vl4l?si=24807772ad564b1f	07EJDWnWJuiyDolsU4Vl4l
Nostalgia	Sunday Candy	 00:48	 01:12	https://open.spotify.com/track/6fTdcGsjxlAD9PSkoPaLMX?si=f2f671a36f2543e8	6fTdcGsjxlAD9PSkoPaLMX	Rocket man	 00:54	 01:18	https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY?si=454c8a30bdd04680	3gdewACMIVMEWVbyb8O9sY
Peacefulness	Mercury	 01:36	 02:00	https://open.spotify.com/track/3guCiFyHrkbEVQdhy6boxQ?si=52eb8a829b1a435b	3guCiFyHrkbEVQdhy6boxQ	Still Broke	 02:24	 02:48	https://open.spotify.com/track/2Mbv5d3Bb4IOMiK63mq64o?si=ddfdcb660d6e4c43	2Mbv5d3Bb4IOMiK63mq64o
Power	The Rat	 00:51	 01:15	https://open.spotify.com/track/2YIOkqKgg3jZEFoL5qcEPT?si=9c7ab3a93ced4ceb	2YIOkqKgg3jZEFoL5qcEPT	No Cars Go	 02:10	 02:34	https://open.spotify.com/track/51xBgzcyzojRpqFW2ICQAB?si=f264b5995f12449a	51xBgzcyzojRpqFW2ICQAB
Joyful activation	Chicago	 04:28	 04:52	https://open.spotify.com/track/1yupbrI7ROhigIHpQBevPh?si=718b115c138e4e1f	1yupbrI7ROhigIHpQBevPh	Use it	 01:39	 02:03	https://open.spotify.com/track/0IMZX10u38NefQy3LHhQJf?si=84be89a9fb944c0a	0IMZX10u38NefQy3LHhQJf
Tension	Goodbye	 01:41	 02:05	https://open.spotify.com/track/6qMcBfQ3Dy3Cn6q27tcQDR?si=70ad177b71294b48	6qMcBfQ3Dy3Cn6q27tcQDR	Plans we made	 01:17	 01:41	https://open.spotify.com/track/2SieYbWMvEVhiTSmBUALv0?si=612336de6eba452b	2SieYbWMvEVhiTSmBUALv0
Sadness	John Wayne Gacy Jr.	 01:14	 01:38	https://open.spotify.com/track/2R3g9k14OAcUzZYwo90Tx6?si=a6c355523d324b78	2R3g9k14OAcUzZYwo90Tx6	Two cousins	 00:31	 00:55	https://open.spotify.com/track/0pKnfb0WKOxeXkN4DkoBJw?si=ad3a79be972e44c5	0pKnfb0WKOxeXkN4DkoBJw
