Emotion	Music1	start1	end1	link1	trackID1	Music2	start2	end2	link2	trackID2
Wonder	Don't Stop Me Now (Queen)	 00:35	 00:59	https://open.spotify.com/intl-pt/track/5T8EDUDqKcs6OSOwEsfqG7?si=a7c4b0967d014117	5T8EDUDqKcs6OSOwEsfqG7	Stand By Me (Play For Change)	 03:05	 03:29	https://open.spotify.com/intl-pt/track/7KGfjeGx88WUiMf93zzoU5?si=d01162a7358541f2	7KGfjeGx88WUiMf93zzoU5
Transcendence	You & Me (Disclosure)	 01:04	 01:28	https://open.spotify.com/intl-pt/track/3W2ZcrRsInZbjWylOi6KhZ?si=87720b41f123488a	3W2ZcrRsInZbjWylOi6KhZ	Hallelujah (Jeff Buckley)	 02:00	 02:24	https://open.spotify.com/intl-pt/track/3pRaLNL3b8x5uBOcsgvdqM?si=40ce6138855f4841	3pRaLNL3b8x5uBOcsgvdqM
Tenderness	Hoppípolla (Sigur Rós)	 00:00	 00:24	https://open.spotify.com/intl-pt/track/6eTGxxQxiTFE6LfZHC33Wm?si=f462d680dcd942bf	6eTGxxQxiTFE6LfZHC33Wm	Better Together (Jack Johnson)	 00:43	 01:07	https://open.spotify.com/intl-pt/track/2iXdwVdzA0KrI2Q0iZNJbX?si=f8ea1a275d9f4ea3	2iXdwVdzA0KrI2Q0iZNJbX
Nostalgia	Zorro (António Zambujo)	 00:00	 00:24	https://open.spotify.com/intl-pt/track/7bSuN2UhQp8NBnbY47FyJu?si=c3d2cc42f92c4157	7bSuN2UhQp8NBnbY47FyJu	Colors (Black Pumas)	 00:00	 00:24	https://open.spotify.com/intl-pt/track/6J3HNhDBIwEX11bX8hzx5u?si=051a7e3ecd1a4122	6J3HNhDBIwEX11bX8hzx5u
Peacefulness	She's Only Happy In The Sun (Ben Harper)	 00:00	 00:24	https://open.spotify.com/intl-pt/track/62nFs5RnG7LcrNBk6oo1xl?si=f0b5ac9ea2b7453c	62nFs5RnG7LcrNBk6oo1xl	(Sittin' On) the Dock of the Bay (Otis Redding)	 00:08	 00:32	https://open.spotify.com/intl-pt/track/3zBhihYUHBmGd2bcQIobrF?si=8bdc5cc96f0f4896	3zBhihYUHBmGd2bcQIobrF
Power	Personal Jesus (Depeche Mode)	 00:04	 00:28	https://open.spotify.com/intl-pt/track/2wUlYDGGXlSvm2NkGj0Qio?si=500943d1009b40c9	2wUlYDGGXlSvm2NkGj0Qio	Take Me Out (Franz Ferdinand)	 00:55	 01:19	https://open.spotify.com/intl-pt/track/20I8RduZC2PWMWTDCZuuAN?si=63fc4dc800e94217	20I8RduZC2PWMWTDCZuuAN
Joyful activation	Steal My Kisses (Ben Harper)	 00:10	 00:34	https://open.spotify.com/intl-pt/track/4cIwg5VY8Lo1NYwq7llOth?si=b3f1c0dcde55458e	4cIwg5VY8Lo1NYwq7llOth	Virtual Insanity (Jamiroquai)	 02:45	 03:09	https://open.spotify.com/intl-pt/track/24SUWisv2lYQiB3bVpE1sn?si=7087f2968a4d44c1	24SUWisv2lYQiB3bVpE1sn
Tension	Os Vampiros (José Afonso)	 00:25	 00:49	https://open.spotify.com/intl-pt/track/16TJVGYbO2boaQT2EGGMyl?si=5568711bfe524178	16TJVGYbO2boaQT2EGGMyl	Canción Sin Medo (Vivir Quintana)	 01:20	 01:44	https://open.spotify.com/intl-pt/track/5w3AsUEGoaCuBhDp14umuy?si=c381b134329648e7	5w3AsUEGoaCuBhDp14umuy
Sadness	A Gente Vai Continuar (Jorge Palma)	 00:01	 00:25	https://open.spotify.com/intl-pt/track/4Eicc9ZkxOFqicpYCz7LlQ?si=4caefaf94c1b4750	4Eicc9ZkxOFqicpYCz7LlQ	Para Os Braços Da Minha Mãe (Pedro Abrunhosa)	 00:50	 01:14	https://open.spotify.com/intl-pt/track/2xUQFT2ndnz4NAhKloClQU?si=da074cc0c22d49aa	2xUQFT2ndnz4NAhKloClQU
