Emotion	Music1	start1	end1	link1	trackID1	Music2	start2	end2	link2	trackID2
Wonder	Symphony no 5, 2th mov	 11:00	 11:24	https://open.spotify.com/track/3kuuKgkJKTaQGTslJ4rY9i?si=587928664d7f4c7b	3kuuKgkJKTaQGTslJ4rY9i	Númenor	 01:24	 01:48	https://open.spotify.com/track/5m17ITVv8Mva7X5HYRSClh?si=33240d5dc1e94836	5m17ITVv8Mva7X5HYRSClh
Transcendence	Serenade for strings, Op. 48, 1	 00:00	 00:24	https://open.spotify.com/track/6uxCDET1kOLNfEOcrF3zJK?si=6279cffc8ab84304	6uxCDET1kOLNfEOcrF3zJK	Sunrise	 00:23	 00:47	https://open.spotify.com/track/6Tb7Zfo4PcSiS4TqQ4NnTh?si=7446332b2e864b84	6Tb7Zfo4PcSiS4TqQ4NnTh
Tenderness	As	 01:50	 02:14	https://open.spotify.com/track/1uirE2Am209htwgK4KVrGD?si=83167ecd5cf942a8	1uirE2Am209htwgK4KVrGD	Flamingo	 00:15	 00:39	https://open.spotify.com/track/3xjwCARr4JwSaJwka9H7MQ?si=0154fe1714534499	3xjwCARr4JwSaJwka9H7MQ
Nostalgia	suite no. 3, op. 19, no. 1	 01:06	 01:30	https://open.spotify.com/track/1JIvoW6neJrFd1ES2aZZvh?si=b5d42c6cdc1f407d	1JIvoW6neJrFd1ES2aZZvh	Golden Brown	 02:46	 03:10	https://open.spotify.com/track/2AX5E86cn9n2dgioZEjirI?si=4e4d48885e9a4943	2AX5E86cn9n2dgioZEjirI
Peacefulness	Eternal Beauty	 00:59	 01:23	https://open.spotify.com/track/0YxUyFzBQiFquwz4raExRB?si=fd157dd75ba046bf	0YxUyFzBQiFquwz4raExRB	Lien-yun st.	 00:00	 00:24	https://open.spotify.com/track/0DM6vcY11eSbTi9lSjvqjh?si=02458d41ba7d42ce	0DM6vcY11eSbTi9lSjvqjh
Power	Differently	 00:00	 00:24	https://open.spotify.com/track/0jQBEvhlnHrzPpLVX0NKIh?si=4e33464eb3c448d1	0jQBEvhlnHrzPpLVX0NKIh	New World symphony, 4th mov	 00:16	 00:40	https://open.spotify.com/track/4GdHkkbUtc63Jr3JI5Pm19?si=4817d23c13894a0a	4GdHkkbUtc63Jr3JI5Pm19
Joyful activation	anda estragar-me os planos	 02:00	 02:24	https://open.spotify.com/track/4eoFmrwfkSevr8Gegsxyuo?si=f3765adbedda4c8a	4eoFmrwfkSevr8Gegsxyuo	Monsters, inc.	 00:00	 00:24	https://open.spotify.com/track/5e0O7MjhNHq9G67qDFM8nR?si=442326061c99442c	5e0O7MjhNHq9G67qDFM8nR
Tension	Sucession	 01:15	 01:39	https://open.spotify.com/track/4PgQu8CWZAD6NSqd4mGDmE?si=6d39b5bd45224a41	4PgQu8CWZAD6NSqd4mGDmE	The imitation game	 00:00	 00:24	https://open.spotify.com/track/0o9ivTBX7mjTnaUYF4Gk6t?si=df6b7c2dfdae4855	0o9ivTBX7mjTnaUYF4Gk6t
Sadness	Dumbledore's Farewell	 01:26	 01:50	https://open.spotify.com/track/0bmb8jg6ljmt8qBmIsMNvL?si=4901a1b8638a41ad	0bmb8jg6ljmt8qBmIsMNvL	sangue do meu sangue	 03:18	 03:42	https://open.spotify.com/track/6Wr0L1OWkniqsLMfJuRNp0?si=b58abd74f09f4d9c	6Wr0L1OWkniqsLMfJuRNp0
