Emotion	Music1	start1	end1	link1	trackID1	Music2	start2	end2	link2	trackID2
Wonder	Gabriel’s Oboe	 01:26	 01:50	https://open.spotify.com/track/6opPrJUpq4Pl5c84eCwLmo?si=ec997ef99d04434a	6opPrJUpq4Pl5c84eCwLmo	Blackbird	 01:00	 01:24	https://open.spotify.com/track/5jgFfDIR6FR0gvlA56Nakr?si=484491a7cf804560	5jgFfDIR6FR0gvlA56Nakr
Transcendence	Kônô	 00:10	 00:34	https://open.spotify.com/track/1Q9VIffQwZGTmGTqS3IRzB?si=658ee4f4c53e4ec0	1Q9VIffQwZGTmGTqS3IRzB	Perfect Guidance (Brazil)	 09:26	 09:50	https://open.spotify.com/track/59lBCrCCXmorN06Gq9r1xc?si=fc49556c9674452d	59lBCrCCXmorN06Gq9r1xc
Tenderness	Un Vestido Y Un Amor	 00:30	 00:54	https://open.spotify.com/track/2f2CrTqbiuevrFQncJPCsc?si=166c9960e799484a	2f2CrTqbiuevrFQncJPCsc	Só tinha que ser com você	 00:28	 00:52	https://open.spotify.com/track/209ucYTS6vWEV5iydrHiOt?si=e2de9e65e9ed448f	209ucYTS6vWEV5iydrHiOt
Nostalgia	By this river	 00:20	 00:44	https://open.spotify.com/track/13b87C9TNBFKJAi9YB4Rr8?si=d22ab45b15b746ea	13b87C9TNBFKJAi9YB4Rr8	Cinema Paradiso (Main Theme)	 01:50	 02:14	https://open.spotify.com/track/0FFOaRW0WTJgd12cKEKuaC?si=d45d5c026d064948	0FFOaRW0WTJgd12cKEKuaC
Peacefulness	Merry Christmas Mr. Lawrence	 01:24	 01:48	https://open.spotify.com/track/5VuwAhMCz9EMg3RHL1KUEr?si=919955f109274b04	5VuwAhMCz9EMg3RHL1KUEr	Perfect Day	 00:00	 00:24	https://open.spotify.com/track/4TOMI010Sd4ZAX4aZ5TS85?si=f95269e0e7d34db2	4TOMI010Sd4ZAX4aZ5TS85
Power	Killing in the name	 00:25	 00:49	https://open.spotify.com/track/59WN2psjkt1tyaxjspN8fp?si=ee36f49fd316434c	59WN2psjkt1tyaxjspN8fp	Under Pressure	 02:20	 02:44	https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x?si=5a6faa508c154e8c	2fuCquhmrzHpu5xcA1ci9x
Joyful activation	Tô Voltando	 03:04	 03:28	https://open.spotify.com/track/7rVvt8t21yAfgo4e4Cxj05?si=Y2v-n0fNRmCeKZLRN1-i_A&context=spotify%3Asearch%3Aestou%2Bvoltando&nd=1	7rVvt8t21yAfgo4e4Cxj05	Deixa pra Lá	 00:13	 00:37	https://open.spotify.com/track/4iH8g2F3ygsoRoGpnMOsI3?si=63ba8f65b3cd4866	4iH8g2F3ygsoRoGpnMOsI3
Tension	Ligeti: Requiem:II.Kyrie. Molto expressivo	 02:10	 02:34	https://open.spotify.com/track/2OWzoQiL6VDTczQwBxmWVx?si=UdJxZP72RFu8p8i051OeDQ&context=spotify%3Aplaylist%3A1TqYY17dUIbDDlrxdS6Vzd&nd=1	2OWzoQiL6VDTczQwBxmWVx	Psyco - from the movie Psyco	 02:10	 02:34	https://open.spotify.com/track/1Lfe3Hd43xUMVrGwHqfZ3l?si=ZuOdMSwOR6yAXYAUhIOD2w&context=spotify%3Asearch%3Apsyco%2Bmov&nd=1	1Lfe3Hd43xUMVrGwHqfZ3l
Sadness	Ne me quitte pas	 01:00	 01:24	https://open.spotify.com/track/6IRA4KOVbtiGiTdYoEThJN?si=09b7dda7d93046be	6IRA4KOVbtiGiTdYoEThJN	Adagio for Strings and Organ in G Minor	 02:40	 03:04	https://open.spotify.com/track/57bwx45CP9kNE58yMUVgQ2?si=JcVCRa9kSZ22KpYf2WN9QA&context=spotify%3Aalbum%3A1ibqZqB8MvWSNecv7nYAsu&nd=1	57bwx45CP9kNE58yMUVgQ2
