	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Tension	6qMcBfQ3Dy3Cn6q27tcQDR	1689251056.9664078	1689251068.9681704	1689251069.209868	1689251092.9689825	1689251093.270032	24.060163974761963	12	12.243460178375244	0.24346017837524414	36.30362415313721
1	Tension	2SieYbWMvEVhiTSmBUALv0	1689251056.9664078	1689251098.969265	1689251099.228155	1689251122.9708958	1689251123.3119082	24.08375334739685	42	42.26174712181091	0.2617471218109131	66.34550046920776
2	Wonder	2TZbQZXOuR8osP2AK8yYMN	1689251056.9664078	1689251140.9724417	1689251141.2043214	1689251164.973572	1689251165.2948446	24.09052324295044	84	84.23791360855103	0.2379136085510254	108.32843685150146
3	Wonder	53PrLXXL4DY4OxHhx5y8Ch	1689251056.9664078	1689251170.9743984	1689251171.2238457	1689251194.9745002	1689251195.207731	23.983885288238525	114	114.25743794441223	0.25743794441223145	138.24132323265076
4	Tenderness	2ndWbjiiNBEOrlfToKlABE	1689251056.9664078	1689251212.9752605	1689251213.202926	1689251236.9766824	1689251237.339796	24.13687014579773	156	156.23651814460754	0.23651814460754395	180.37338829040527
5	Tenderness	07EJDWnWJuiyDolsU4Vl4l	1689251056.9664078	1689251242.9768054	1689251243.2737784	1689251266.9768102	1689251267.2174392	23.943660736083984	186	186.3073706626892	0.307370662689209	210.2510313987732
6	Nostalgia	6fTdcGsjxlAD9PSkoPaLMX	1689251056.9664078	1689251284.9775057	1689251285.2004166	1689251308.9792988	1689251309.2772217	24.076805114746094	228	228.2340087890625	0.2340087890625	252.3108139038086
7	Nostalgia	3gdewACMIVMEWVbyb8O9sY	1689251056.9664078	1689251314.979748	1689251315.198328	1689251338.97989	1689251339.3100052	24.111677169799805	258	258.23192024230957	0.2319202423095703	282.3435974121094
8	Sadness	2R3g9k14OAcUzZYwo90Tx6	1689251056.9664078	1689251356.9816	1689251357.2119594	1689251380.983264	1689251381.2940054	24.082046031951904	300	300.2455515861511	0.24555158615112305	324.327597618103
9	Sadness	0pKnfb0WKOxeXkN4DkoBJw	1689251056.9664078	1689251386.9838254	1689251387.2085125	1689251410.9850717	1689251411.345619	24.13710641860962	330	330.24210476875305	0.24210476875305176	354.37921118736267
10	Power	2YIOkqKgg3jZEFoL5qcEPT	1689251056.9664078	1689251428.9853957	1689251429.2281885	1689251452.9868422	1689251453.277943	24.04975438117981	372	372.26178073883057	0.2617807388305664	396.3115351200104
11	Power	51xBgzcyzojRpqFW2ICQAB	1689251056.9664078	1689251458.9875202	1689251459.283776	1689251482.988609	1689251483.347137	24.063360929489136	402	402.3173682689667	0.3173682689666748	426.3807291984558
12	Peacefulness	3guCiFyHrkbEVQdhy6boxQ	1689251056.9664078	1689251500.9896152	1689251501.2102637	1689251524.9900577	1689251525.342308	24.132044315338135	444	444.24385595321655	0.24385595321655273	468.3759002685547
13	Peacefulness	2Mbv5d3Bb4IOMiK63mq64o	1689251056.9664078	1689251530.991328	1689251531.2154007	1689251554.9930956	1689251555.2303035	24.0149028301239	474	474.2489929199219	0.248992919921875	498.2638957500458
14	Joyful activation	1yupbrI7ROhigIHpQBevPh	1689251056.9664078	1689251572.9942174	1689251573.220691	1689251596.9953167	1689251597.2228937	24.00220274925232	516	516.2542831897736	0.25428318977355957	540.2564859390259
15	Joyful activation	0IMZX10u38NefQy3LHhQJf	1689251056.9664078	1689251602.9967852	1689251603.2316148	1689251626.9983625	1689251627.3343005	24.102685689926147	546	546.2652070522308	0.26520705223083496	570.367892742157
16	Transcendence	5WMnCJcI1CGG33Uhn2tjMc	1689251056.9664078	1689251644.9988055	1689251645.2352643	1689251669.000486	1689251669.4128993	24.177634954452515	588	588.2688565254211	0.2688565254211426	612.4464914798737
17	Transcendence	5OJeyZweSMSZ1keNth2D3K	1689251056.9664078	1689251675.001363	1689251675.2348201	1689251699.0028026	1689251699.2540917	24.01927161216736	618	618.2684123516083	0.26841235160827637	642.2876839637756
