	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Nostalgia	1LqFdwLKqa8Ep6q9LEUCih	1690820439.185133	1690820451.1893346	1690820451.3497412	1690820475.1898034	1690820475.43145	24.081708669662476	12	12.164608240127563	0.16460824012756348	36.24631690979004
1	Nostalgia	3tJjZMHLqhD8DaGgdBICnc	1690820439.185133	1690820481.1910825	1690820481.419391	1690820505.191357	1690820505.5671575	24.147766590118408	42	42.23425793647766	0.23425793647766113	66.38202452659607
2	Joyful activation	1sTsuZTdANkiFd7T34H3nb	1690820439.185133	1690820523.19147	1690820523.367098	1690820547.1928377	1690820547.5031888	24.136090755462646	84	84.18196511268616	0.18196511268615723	108.3180558681488
3	Joyful activation	7mnGQesk1TzQLzQ9bYWZPR	1690820439.185133	1690820553.193531	1690820553.4804318	1690820577.193869	1690820577.4339266	23.953494787216187	114	114.29529881477356	0.29529881477355957	138.24879360198975
4	Wonder	5r0GJYtppL0xHfaAq3yw9V	1690820439.185133	1690820595.1954396	1690820595.3916183	1690820619.1954424	1690820619.4423394	24.050721168518066	156	156.20648527145386	0.20648527145385742	180.25720643997192
5	Wonder	1BncfTJAWxrsxyT9culBrj	1690820439.185133	1690820625.197309	1690820625.3802097	1690820649.1974185	1690820649.4299803	24.04977059364319	186	186.19507670402527	0.19507670402526855	210.24484729766846
6	Sadness	5NVM9GhtQLTTyF910jfHmy	1690820439.185133	1690820667.1987674	1690820667.4004514	1690820691.199618	1690820691.5603983	24.15994691848755	228	228.215318441391	0.2153184413909912	252.37526535987854
7	Sadness	56oReVXIfUO9xkX7pHmEU0	1690820439.185133	1690820697.200769	1690820697.4247787	1690820721.2020087	1690820721.4523008	24.027522087097168	258	258.2396457195282	0.23964571952819824	282.26716780662537
8	Transcendence	6DHYWelHYuynVVPv2m58wl	1690820439.185133	1690820739.2024486	1690820739.511459	1690820763.202835	1690820763.6513307	24.13987159729004	300	300.3263261318207	0.3263261318206787	324.4661977291107
9	Transcendence	64q5EfFKR9hYJ1FHqSClxe	1690820439.185133	1690820769.2037742	1690820769.422641	1690820793.2040772	1690820793.4305906	24.007949590682983	330	330.237508058548	0.23750805854797363	354.24545764923096
10	Power	3GJZLvGXaVszYdSBLMtJFX	1690820439.185133	1690820811.2060263	1690820811.3827393	1690820835.2070572	1690820835.4408915	24.058152198791504	372	372.19760632514954	0.19760632514953613	396.25575852394104
11	Power	6kbFxKnhjvGAsCx0Reioej	1690820439.185133	1690820841.207529	1690820841.4318967	1690820865.2088337	1690820865.4714258	24.0395290851593	402	402.2467637062073	0.2467637062072754	426.2862927913666
12	Tension	1IKnkAtTKion90wF8yxSgS	1690820439.185133	1690820883.2098017	1690820883.395067	1690820907.211343	1690820907.5019627	24.106895685195923	444	444.20993399620056	0.20993399620056152	468.3168296813965
13	Tension	24tp9KQWD7EVkPiHcO1pPE	1690820439.185133	1690820913.213196	1690820913.3806343	1690820937.214714	1690820937.5693126	24.18867826461792	474	474.19550132751465	0.19550132751464844	498.38417959213257
14	Tenderness	7m9TFCZtij6DlsUldYSICm	1690820439.185133	1690820955.2154021	1690820955.3953588	1690820979.2173085	1690820979.5766873	24.181328535079956	516	516.2102258205414	0.21022582054138184	540.3915543556213
15	Tenderness	3VJPYNpeHQS6qUX52uRExW	1690820439.185133	1690820985.2173817	1690820985.4473808	1690821009.2177048	1690821009.5729973	24.125616550445557	546	546.262247800827	0.26224780082702637	570.3878643512726
16	Peacefulness	3KBNq06Yv9uOGqbvm71bSs	1690820439.185133	1690821027.2191145	1690821027.3907578	1690821051.2211077	1690821051.4596033	24.068845510482788	588	588.2056248188019	0.20562481880187988	612.2744703292847
17	Peacefulness	23TXSzmuErPA3CAPsE2bme	1690820439.185133	1690821057.223022	1690821057.5578392	1690821081.223284	1690821081.547002	23.989162921905518	618	618.3727061748505	0.37270617485046387	642.361869096756
