	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Wonder	42QOYbBozaTdltb42SdbNE	1687276382.948448	1687276394.9503233	1687276395.1411462	1687276418.9520679	1687276419.2179883	24.076842069625854	12	12.192698240280151	0.19269824028015137	36.269540309906006
1	Wonder	1Z2MfAx1nJ09NzGjodnvRW	1687276382.948448	1687276424.9533634	1687276425.2376666	1687276448.9547386	1687276449.2659352	24.028268575668335	42	42.28921866416931	0.2892186641693115	66.31748723983765
2	Nostalgia	3p84R45PM75ngq8XRoe45o	1687276382.948448	1687276466.954762	1687276467.1846037	1687276490.9558144	1687276491.3519151	24.167311429977417	84	84.23615574836731	0.23615574836730957	108.40346717834473
3	Nostalgia	3USxtqRwSYz57Ewm6wWRMp	1687276382.948448	1687276496.9563665	1687276497.1380095	1687276520.9567442	1687276521.1979127	24.059903144836426	114	114.18956160545349	0.1895616054534912	138.24946475028992
4	Transcendence	3bI4lHCkobzyccDAfAkUQM	1687276382.948448	1687276538.9569426	1687276539.1332777	1687276562.957739	1687276563.2483315	24.11505389213562	156	156.18482971191406	0.1848297119140625	180.29988360404968
5	Transcendence	7k42ztYdHyKWrKrENxwjkV	1687276382.948448	1687276568.9596195	1687276569.4101408	1687276592.9615552	1687276593.2688866	23.85874581336975	186	186.4616928100586	0.46169281005859375	210.32043862342834
6	Joyful activation	23Dapn8107GgxvXDIsPwWm	1687276382.948448	1687276610.9623373	1687276611.1742382	1687276634.962466	1687276635.4017684	24.227530241012573	228	228.2257902622223	0.22579026222229004	252.45332050323486
7	Joyful activation	2Wi5ubKr8zSk8L3CLemyS4	1687276382.948448	1687276640.9632654	1687276641.2016442	1687276664.9642677	1687276665.20799	24.006345748901367	258	258.25319623947144	0.25319623947143555	282.2595419883728
8	Peacefulness	6urI171OkxrttC2b9c9J4H	1687276382.948448	1687276682.964705	1687276683.145354	1687276706.9658732	1687276707.2701252	24.124771118164062	300	300.1969060897827	0.19690608978271484	324.3216772079468
9	Peacefulness	1ZgMsA55GIY7ICkQh5MILA	1687276382.948448	1687276712.9660044	1687276713.2809575	1687276736.9670615	1687276737.4233603	24.14240288734436	330	330.3325095176697	0.33250951766967773	354.47491240501404
10	Power	6xX7qtXoEk3QSRBXpzGWs4	1687276382.948448	1687276754.9672418	1687276755.1517606	1687276778.9674928	1687276779.208534	24.05677342414856	372	372.20331263542175	0.20331263542175293	396.2600860595703
11	Power	6y20BV5L33R8YXM0YuI38N	1687276382.948448	1687276784.9684722	1687276785.1446667	1687276808.9700956	1687276809.2775471	24.132880449295044	402	402.19621872901917	0.19621872901916504	426.3290991783142
12	Tenderness	4RqBss578GNj4u9VYZK5u0	1687276382.948448	1687276826.9714587	1687276827.1411016	1687276850.9732096	1687276851.475124	24.334022283554077	444	444.19265365600586	0.19265365600585938	468.52667593955994
13	Tenderness	4bSr1hSKGJzglijKfIrcvo	1687276382.948448	1687276856.9736147	1687276857.2333252	1687276880.9745293	1687276881.208859	23.975533723831177	474	474.28487730026245	0.28487730026245117	498.2604110240936
14	Tension	5PXyH5bb5fbVfO8LjByhBb	1687276382.948448	1687276898.9764698	1687276899.1549737	1687276922.9772477	1687276923.2112672	24.056293487548828	516	516.2065258026123	0.2065258026123047	540.2628192901611
15	Tension	5lV0LPaRCJMd0Icb0SY3jX	1687276382.948448	1687276928.9775288	1687276929.1461208	1687276952.979498	1687276953.2291598	24.083039045333862	546	546.1976728439331	0.19767284393310547	570.280711889267
16	Sadness	0rrYTqRuvyQYxroWdtNzSX	1687276382.948448	1687276970.9811764	1687276971.1615052	1687276994.9831128	1687276995.2125924	24.051087141036987	588	588.2130572795868	0.213057279586792	612.2641444206238
17	Sadness	5sqNEssbu24RfCWLP1PqLa	1687276382.948448	1687277000.9838772	1687277001.2323327	1687277024.9857886	1687277025.2157292	23.983396530151367	618	618.2838847637177	0.28388476371765137	642.267281293869
