	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Joyful activation	3csZY6R1VdpcETj3oZPm3F	1718716755.0960798	1718716767.0982609	1718716767.3205106	1718716791.0994537	1718716791.4230363	24.10252571105957	12	12.224430799484253	0.22443079948425293	36.32695651054382
1	Joyful activation	21deaXqPzYtLunigUjpZuB	1718716755.0960798	1718716797.0999832	1718716797.3161974	1718716821.101562	1718716821.390515	24.074317693710327	42	42.22011756896973	0.22011756896972656	66.29443526268005
2	Tenderness	5VRVc5Cq5MbKJG5llJ8XvH	1718716755.0960798	1718716839.1016476	1718716839.330325	1718716863.1033337	1718716863.327732	23.99740719795227	84	84.23424506187439	0.23424506187438965	108.23165225982666
3	Tenderness	77Ztfd0fzBA9sPJNVmvyGF	1718716755.0960798	1718716869.1045413	1718716869.3516378	1718716893.1057198	1718716893.382257	24.030619144439697	114	114.25555801391602	0.2555580139160156	138.2861771583557
4	Transcendence	5Yg45DuQgNc1dRw11pixQi	1718716755.0960798	1718716911.1063554	1718716911.3331354	1718716935.1065214	1718716935.3486764	24.015541076660156	156	156.23705554008484	0.23705554008483887	180.252596616745
5	Transcendence	5AZJbQwaYGHWCY53k7fO57	1718716755.0960798	1718716941.106615	1718716941.3255706	1718716965.1068716	1718716965.3332725	24.007701873779297	186	186.22949075698853	0.2294907569885254	210.23719263076782
6	Peacefulness	6qC8Jj1XOxknPm8N7EbzKX	1718716755.0960798	1718716983.108217	1718716983.3337958	1718717007.109902	1718717007.5341547	24.200358867645264	228	228.23771595954895	0.2377159595489502	252.4380748271942
7	Peacefulness	2d1MywHy6FwKdzxFuSJnwl	1718716755.0960798	1718717013.1107922	1718717013.3275173	1718717037.111786	1718717037.3496602	24.02214288711548	258	258.2314374446869	0.23143744468688965	282.25358033180237
8	Sadness	3xXBsjrbG1xQIm1xv1cKOt	1718716755.0960798	1718717055.112442	1718717055.3445904	1718717079.1139922	1718717079.3387167	23.994126319885254	300	300.24851059913635	0.24851059913635254	324.2426369190216
9	Sadness	4S5TwBi3D8TDEHh37GdbxV	1718716755.0960798	1718717085.115976	1718717085.4020438	1718717109.1168032	1718717109.4036705	24.00162672996521	330	330.3059639930725	0.30596399307250977	354.3075907230377
10	Nostalgia	2rZFSXWR2B5YCASIFuD8gh	1718716755.0960798	1718717127.1179662	1718717127.342956	1718717151.1180267	1718717151.5407925	24.19783639907837	372	372.2468762397766	0.24687623977661133	396.444712638855
11	Nostalgia	7wqSzGeodspE3V6RBD5W8L	1718716755.0960798	1718717157.1191328	1718717157.3439376	1718717181.1199117	1718717181.334795	23.990857362747192	402	402.2478578090668	0.24785780906677246	426.23871517181396
12	Tension	4fouWK6XVHhzl78KzQ1UjL	1718716755.0960798	1718717199.1207983	1718717199.3428833	1718717223.1219728	1718717223.4040005	24.06111717224121	444	444.24680352211	0.24680352210998535	468.3079206943512
13	Tension	7Ie9W94M7OjPoZVV216Xus	1718716755.0960798	1718717229.1230507	1718717229.367189	1718717253.1240635	1718717253.3509192	23.98373031616211	474	474.2711091041565	0.27110910415649414	498.2548394203186
14	Wonder	4sCSUQnWQ6HJsOMjfPicdn	1718716755.0960798	1718717271.1248317	1718717271.3428528	1718717295.126288	1718717295.4475648	24.10471200942993	516	516.2467730045319	0.24677300453186035	540.3514850139618
15	Wonder	64VzxgaIpjB52YUtsF9St7	1718716755.0960798	1718717301.1273437	1718717301.3456979	1718717325.128359	1718717325.5945675	24.24886965751648	546	546.2496180534363	0.2496180534362793	570.4984877109528
16	Power	6iNBM60VQtPUUhkKfwa5KV	1718716755.0960798	1718717343.1287541	1718717343.35217	1718717367.1301715	1718717367.563391	24.21122097969055	588	588.2560901641846	0.2560901641845703	612.4673111438751
17	Power	0COqiPhxzoWICwFCS4eZcp	1718716755.0960798	1718717373.1310139	1718717373.35684	1718717397.1321778	1718717397.4138987	24.057058811187744	618	618.2607600688934	0.2607600688934326	642.3178188800812
