	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Joyful activation	4kbj5MwxO1bq9wjT5g9HaA	1716908969.1888528	1716908981.1916208	1716908981.4179728	1716909005.19228	1716909005.4917006	24.07372784614563	12	12.229120016098022	0.22912001609802246	36.30284786224365
1	Joyful activation	6DYkLt9JPsf3obewkAnamY	1716908969.1888528	1716909011.1933641	1716909011.4938738	1716909035.1942892	1716909035.4828959	23.98902201652527	42	42.30502104759216	0.3050210475921631	66.29404306411743
2	Tension	6JbPyMiLnWaaKusic64bCq	1716908969.1888528	1716909053.1944592	1716909053.4140334	1716909077.1961558	1716909077.4356835	24.021650075912476	84	84.22518062591553	0.22518062591552734	108.246830701828
3	Tension	2nLtzopw4rPReszdYBJU6h	1716908969.1888528	1716909083.1968534	1716909083.427958	1716909107.1983304	1716909107.5257266	24.097768545150757	114	114.23910522460938	0.239105224609375	138.33687376976013
4	Power	210JJAa9nJOgNa0YNrsT5g	1716908969.1888528	1716909125.1986327	1716909125.5053544	1716909149.1999438	1716909149.4436033	23.938248872756958	156	156.31650161743164	0.3165016174316406	180.2547504901886
5	Power	37f4ITSlgPX81ad2EvmVQr	1716908969.1888528	1716909155.2010221	1716909155.4292905	1716909179.2023337	1716909179.4389625	24.009671926498413	186	186.24043774604797	0.24043774604797363	210.2501096725464
6	Wonder	7kC5Q1Ai6RSshkuFXCcsMG	1716908969.1888528	1716909197.2042186	1716909197.494802	1716909221.2048595	1716909221.6116369	24.11683487892151	228	228.3059492111206	0.30594921112060547	252.42278409004211
7	Wonder	4y5bvROuBDPr5fuwXbIBZR	1716908969.1888528	1716909227.2059972	1716909227.4512804	1716909251.2063036	1716909251.507311	24.056030750274658	258	258.26242756843567	0.26242756843566895	282.3184583187103
8	Transcendence	1AZjCZSGEjlxUufFQwSszF	1716908969.1888528	1716909269.2082236	1716909269.4390275	1716909293.2083502	1716909293.5139232	24.07489562034607	300	300.2501747608185	0.25017476081848145	324.32507038116455
9	Transcendence	6nek1Nin9q48AVZcWs9e9D	1716908969.1888528	1716909299.2091842	1716909299.4933298	1716909323.209317	1716909323.4392257	23.94589591026306	330	330.30447697639465	0.3044769763946533	354.2503728866577
10	Sadness	1ZWLWVqeEMWMKTlteS0yLH	1716908969.1888528	1716909341.2104154	1716909341.5343676	1716909366.5526578	1716909367.2097123	25.675344705581665	372	372.3455147743225	0.34551477432250977	398.0208594799042
11	Sadness	7gY3cyGcB2wnk2xDXiA0pe	1716908969.1888528	1716909372.5537274	1716909372.8418443	1716909396.5549219	1716909396.842977	24.00113272666931	402	403.6529915332794	1.652991533279419	427.65412425994873
12	Tenderness	608R6FvRtAqf2dvgKMzebP	1716908969.1888528	1716909414.5551543	1716909414.8513446	1716909438.5564725	1716909439.0492165	24.197871923446655	444	445.6624917984009	1.662491798400879	469.86036372184753
13	Tenderness	74ewFAgDzRkhZ7EX2eLtfZ	1716908969.1888528	1716909444.557318	1716909444.8477519	1716909468.5583506	1716909468.8004928	23.952740907669067	474	475.6588990688324	1.6588990688323975	499.61163997650146
14	Nostalgia	3DamFFqW32WihKkTVlwTYQ	1716908969.1888528	1716909486.5586145	1716909486.7929628	1716909510.5601304	1716909510.7864518	23.993489027023315	516	517.6041100025177	1.6041100025177002	541.597599029541
15	Nostalgia	1kmmKv3L4kGmoPu8aDFOmk	1716908969.1888528	1716909516.5603926	1716909516.791942	1716909540.5604558	1716909540.8509684	24.05902647972107	546	547.603089094162	1.6030890941619873	571.662115573883
16	Peacefulness	6pAXhOJIYqeogZP34vZBqO	1716908969.1888528	1716909558.560738	1716909558.8147976	1716909582.5613782	1716909582.7980037	23.983206033706665	588	589.625944852829	1.6259448528289795	613.6091508865356
17	Peacefulness	7hDVYcQq6MxkdJGweuCtl9	1716908969.1888528	1716909588.562461	1716909588.8629332	1716909612.5625174	1716909612.8537855	23.99085235595703	618	619.6740803718567	1.6740803718566895	643.6649327278137
