	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Peacefulness	6opPrJUpq4Pl5c84eCwLmo	1686922750.6081846	1686922762.610103	1686922762.8578682	1686922786.6116118	1686922787.0551584	24.197290182113647	12	12.249683618545532	0.24968361854553223	36.44697380065918
1	Peacefulness	0bYkLnTr1ddquKhvq85aio	1686922750.6081846	1686922792.6125915	1686922792.8628368	1686922816.6137884	1686922816.8829923	24.020155429840088	42	42.25465226173401	0.2546522617340088	66.2748076915741
2	Transcendence	1elGwF4VwkwglV4nCBPJtv	1686922750.6081846	1686922834.6144571	1686922834.8727653	1686922858.6153495	1686922858.8537226	23.98095726966858	84	84.26458072662354	0.26458072662353516	108.24553799629211
3	Transcendence	4ypudCmFDkvLrj5DY6VJzj	1686922750.6081846	1686922864.6168919	1686922864.8632314	1686922888.6187913	1686922888.845794	23.98256254196167	114	114.25504684448242	0.2550468444824219	138.2376093864441
4	Power	1qziCx0BHzpd6LeSqx8vAq	1686922750.6081846	1686922906.6198778	1686922906.849136	1686922930.6208067	1686922930.8998141	24.05067801475525	156	156.24095153808594	0.2409515380859375	180.2916295528412
5	Power	0MZl43LHqJXS1Vb3naePmi	1686922750.6081846	1686922936.6212425	1686922936.8537335	1686922960.6222818	1686922960.9258442	24.072110652923584	186	186.24554896354675	0.24554896354675293	210.31765961647034
6	Joyful activation	2Ud3deeqLAG988pfW0Kwcl	1686922750.6081846	1686922978.6236413	1686922978.8480682	1686923002.624955	1686923003.0498211	24.20175290107727	228	228.23988366127014	0.2398836612701416	252.4416365623474
7	Joyful activation	1BY1Vd2Bt6JPOhMvsIwtVv	1686922750.6081846	1686923008.626306	1686923008.9096632	1686923032.6277187	1686923032.8670785	23.957415342330933	258	258.3014786243439	0.30147862434387207	282.2588939666748
8	Sadness	2nMeu6UenVvwUktBCpLMK9	1686922750.6081846	1686923050.6282413	1686923050.8645465	1686923074.6284025	1686923074.8560429	23.991496324539185	300	300.25636196136475	0.2563619613647461	324.24785828590393
9	Sadness	0SUDiaR0qm30fXVGPjPvRp	1686922750.6081846	1686923080.6285045	1686923080.8832002	1686923104.6296897	1686923104.8682697	23.985069513320923	330	330.2750155925751	0.27501559257507324	354.260085105896
10	Tenderness	1YIAJ4gN1oh0KRb9Rb41Rd	1686922750.6081846	1686923122.6308527	1686923122.9370334	1686923146.6319246	1686923146.9416568	24.004623413085938	372	372.32884883880615	0.32884883880615234	396.3334722518921
11	Tenderness	6NSlOEEtWlqvEFrjQsry77	1686922750.6081846	1686923152.6332352	1686923152.8736215	1686923176.6346185	1686923177.0897737	24.21615219116211	402	402.2654368877411	0.26543688774108887	426.4815890789032
12	Nostalgia	2A1bDBDHoKTTmyALQJ7zqU	1686922750.6081846	1686923194.635232	1686923194.8635974	1686923218.6361058	1686923218.869071	24.005473613739014	444	444.25541281700134	0.2554128170013428	468.26088643074036
13	Nostalgia	6Thn8AOHIwPCkf2O4ZgfC2	1686922750.6081846	1686923224.6380584	1686923224.8626106	1686923248.6394563	1686923248.870664	24.008053302764893	474	474.25442600250244	0.2544260025024414	498.26247930526733
14	Wonder	0qmCWYu7hOvriyuqXfPw7I	1686922750.6081846	1686923266.6396792	1686923266.8680434	1686923290.6406958	1686923290.8942087	24.0261652469635	516	516.2598588466644	0.2598588466644287	540.2860240936279
15	Wonder	1Y5EqnpZLLoAp4RQQTr10O	1686922750.6081846	1686923296.6410248	1686923296.873399	1686923320.6415694	1686923320.8729513	23.999552249908447	546	546.2652144432068	0.2652144432067871	570.2647666931152
16	Tension	0L7zm6afBEtrNKo6C6Gj08	1686922750.6081846	1686923338.6418672	1686923338.8792331	1686923362.642071	1686923362.8783998	23.99916672706604	588	588.2710485458374	0.27104854583740234	612.2702152729034
17	Tension	5UgT7w6zVZjP3oyawMzbiK	1686922750.6081846	1686923368.6427524	1686923368.8720796	1686923392.6428967	1686923392.941717	24.069637298583984	618	618.26389503479	0.26389503479003906	642.333532333374
