	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Sadness	79JW4tqG3AigegX3sKRxgi	1715183655.9973266	1715183667.9983888	1715183668.2245936	1715183691.9988928	1715183692.2289426	24.00434899330139	12	12.227267026901245	0.22726702690124512	36.23161602020264
1	Sadness	6vliK4BzAAeQjIaz27I2Db	1715183655.9973266	1715183697.999381	1715183698.254842	1715183721.9995008	1715183722.2291982	23.974356174468994	42	42.25751543045044	0.25751543045043945	66.23187160491943
2	Tension	73SpzrcaHk0RQPFP73vqVR	1715183655.9973266	1715183740.000461	1715183740.231908	1715183764.0024233	1715183764.3009524	24.06904435157776	84	84.2345814704895	0.23458147048950195	108.30362582206726
3	Tension	3xZMPZQYETEn4hjor3TR1A	1715183655.9973266	1715183770.0032086	1715183770.2879958	1715183794.0043428	1715183794.5003939	24.212398052215576	114	114.29066920280457	0.29066920280456543	138.50306725502014
4	Nostalgia	3qieYtq2M6PXHYPovh9iBl	1715183655.9973266	1715183812.0051794	1715183812.2990317	1715183836.006454	1715183836.233316	23.934284210205078	156	156.30170512199402	0.30170512199401855	180.2359893321991
5	Nostalgia	0UvQihfqIXMt8Bx8YOB0GP	1715183655.9973266	1715183842.0065525	1715183842.3089666	1715183866.0069437	1715183866.4564888	24.14752221107483	186	186.31164002418518	0.31164002418518066	210.45916223526
6	Tenderness	3ovjw5HZZv43SxTwApooCM	1715183655.9973266	1715183884.0071068	1715183884.230978	1715183908.007511	1715183908.311783	24.08080506324768	228	228.23365139961243	0.23365139961242676	252.3144564628601
7	Tenderness	3mQFj3pdKyArVUQRTxhQcH	1715183655.9973266	1715183914.0085912	1715183914.2260425	1715183943.7903574	1715183944.0933003	29.867257833480835	258	258.22871589660645	0.2287158966064453	288.0959737300873
8	Transcendence	0bXpmJyHHYPk6QBFj25bYF	1715183655.9973266	1715183961.7923362	1715183962.0858972	1715183985.7942872	1715183986.0876565	24.00175929069519	300	306.0885705947876	6.088570594787598	330.0903298854828
9	Transcendence	7rBpjxstrSsuOLqnuOC028	1715183655.9973266	1715183991.7949343	1715183992.0867121	1715184015.7962217	1715184016.018744	23.932031869888306	330	336.08938550949097	6.089385509490967	360.0214173793793
10	Power	2zYzyRzz6pRmhPzyfMEC8s	1715183655.9973266	1715184033.796253	1715184034.0450952	1715184057.7962887	1715184058.025098	23.980002880096436	372	378.0477685928345	6.047768592834473	402.0277714729309
11	Power	1TRr8Pp2uOqL24fMHpJyV3	1715183655.9973266	1715184063.7982078	1715184064.0438638	1715184087.798564	1715184088.0755208	24.031656980514526	402	408.0465371608734	6.046537160873413	432.07819414138794
12	Joyful activation	6gJdDnF2TzfA1WPMXuCa3x	1715183655.9973266	1715184105.8005404	1715184106.0298548	1715184129.801897	1715184130.0234776	23.99362277984619	444	450.03252816200256	6.0325281620025635	474.02615094184875
13	Joyful activation	1DojFoewF8FyySBMbZ9TXt	1715183655.9973266	1715184135.8030791	1715184136.0985346	1715184159.8039339	1715184160.041582	23.943047523498535	474	480.1012079715729	6.101207971572876	504.0442554950714
14	Wonder	5T8EDUDqKcs6OSOwEsfqG7	1715183655.9973266	1715184177.8046052	1715184178.0417237	1715184201.806188	1715184202.0955021	24.053778409957886	516	522.0443971157074	6.0443971157073975	546.0981755256653
15	Wonder	4uUG5RXrOk84mYEfFvj3cK	1715183655.9973266	1715184207.8079758	1715184208.0970073	1715184231.809398	1715184232.0951254	23.99811816215515	546	552.0996806621552	6.099680662155151	576.0977988243103
16	Peacefulness	2LawezPeJhN4AWuSB0GtAU	1715183655.9973266	1715184249.8107777	1715184250.0949855	1715184273.8118818	1715184274.0613105	23.966325044631958	588	594.0976588726044	6.09765887260437	618.0639839172363
17	Peacefulness	3NfxSdJnVdon1axzloJgba	1715183655.9973266	1715184279.812123	1715184280.0984535	1715184303.81386	1715184304.126364	24.027910470962524	618	624.101126909256	6.1011269092559814	648.1290373802185
