	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Peacefulness	6Er8Fz6fuZNi5cvwQjv1ya	1718810026.697159	1718810038.7008433	1718810038.9507806	1718810062.7028124	1718810063.0014741	24.05069351196289	12	12.253621578216553	0.25362157821655273	36.30431509017944
1	Peacefulness	2agBDIr9MYDUducQPC1sFU	1718810026.697159	1718810068.7034414	1718810069.0036213	1718810092.703869	1718810092.9537752	23.950153827667236	42	42.30646228790283	0.30646228790283203	66.25661611557007
2	Tension	3Id64dLhfH7z0mmcylxuNp	1718810026.697159	1718810110.7053344	1718810111.0172865	1718810134.7066598	1718810135.0971699	24.079883337020874	84	84.32012748718262	0.3201274871826172	108.40001082420349
3	Tension	3dkIE8P7hvl3tHl9KSb6dA	1718810026.697159	1718810140.7075992	1718810140.9494026	1718810164.707812	1718810164.993223	24.04382038116455	114	114.25224351882935	0.2522435188293457	138.2960638999939
4	Sadness	1gIko0dsz3MIfVny2wo4Mc	1718810026.697159	1718810182.7085302	1718810183.0097182	1718810206.7092109	1718810207.180029	24.170310735702515	156	156.31255912780762	0.3125591278076172	180.48286986351013
5	Sadness	5GHfUQGxnemWRbBe62KNpq	1718810026.697159	1718810212.7111187	1718810212.9973135	1718810236.712598	1718810236.9352624	23.93794894218445	186	186.30015444755554	0.300154447555542	210.23810338974
6	Joyful activation	3GBApU0NuzH4hKZq4NOSdA	1718810026.697159	1718810254.7137582	1718810254.9373426	1718810278.7142653	1718810279.1691036	24.23176097869873	228	228.24018359184265	0.24018359184265137	252.47194457054138
7	Joyful activation	6QgjcU0zLnzq5OrUoSZ3OK	1718810026.697159	1718810284.7150712	1718810284.934279	1718810308.7152467	1718810309.0594602	24.125181198120117	258	258.2371199131012	0.2371199131011963	282.3623011112213
8	Power	456WNXWhDwYOSf5SpTuqxd	1718810026.697159	1718810326.7166872	1718810326.9721618	1718810350.718229	1718810351.2154508	24.24328899383545	300	300.2750027179718	0.27500271797180176	324.51829171180725
9	Power	1yvMUkIOTeUNtNWlWRgANS	1718810026.697159	1718810356.7187932	1718810357.0180433	1718810380.719485	1718810381.1313143	24.1132709980011	330	330.3208842277527	0.32088422775268555	354.4341552257538
10	Tenderness	7LRzgZuP7H12oSC1CnC2jB	1718810026.697159	1718810398.7202587	1718810398.9522426	1718810422.7210035	1718810422.9511228	23.99888014793396	372	372.2550835609436	0.2550835609436035	396.25396370887756
11	Tenderness	5lm18pjbwdth6ENVllxjfl	1718810026.697159	1718810428.7227633	1718810428.965783	1718810452.7228904	1718810453.0213943	24.05561113357544	402	402.2686240673065	0.26862406730651855	426.32423520088196
12	Wonder	5NrV5IwDOFcXHHUFTB8BUy	1718810026.697159	1718810470.7239919	1718810471.068842	1718810494.724155	1718810495.0138068	23.94496488571167	444	444.37168288230896	0.37168288230895996	468.31664776802063
13	Wonder	4RW7EZi7SHSLRwvn1Q8Mqj	1718810026.697159	1718810500.7251642	1718810500.945515	1718810524.7262623	1718810524.951894	24.00637912750244	474	474.2483558654785	0.24835586547851562	498.25473499298096
14	Transcendence	4WmB04GBqS4xPMYN9dHgBw	1718810026.697159	1718810542.726352	1718810543.1088495	1718810566.726962	1718810567.1676698	24.058820247650146	516	516.4116904735565	0.41169047355651855	540.4705107212067
15	Transcendence	3weNRklVDqb4Rr5MhKBR3D	1718810026.697159	1718810572.7270362	1718810573.0148263	1718810596.7283041	1718810597.0097842	23.99495792388916	546	546.3176672458649	0.31766724586486816	570.312625169754
16	Nostalgia	3lAqHOGFBABytXxiPpDm6e	1718810026.697159	1718810614.7288458	1718810614.957007	1718810638.7297041	1718810639.023917	24.06691002845764	588	588.2598478794098	0.25984787940979004	612.3267579078674
17	Nostalgia	1Lom3Qqs0HUPxqnmRVumKQ	1718810026.697159	1718810644.7307553	1718810645.0589025	1718810668.7311835	1718810668.9678662	23.908963680267334	618	618.3617434501648	0.3617434501647949	642.2707071304321
