	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Tension	73SpzrcaHk0RQPFP73vqVR	1715182907.6270208	1715182919.627472	1715182919.8494718	1715182943.6283135	1715182943.8650541	24.01558232307434	12	12.222450971603394	0.22245097160339355	36.238033294677734
1	Tension	3xZMPZQYETEn4hjor3TR1A	1715182907.6270208	1715182949.628707	1715182949.849122	1715182973.6301842	1715182973.9560344	24.10691237449646	42	42.22210121154785	0.22210121154785156	66.32901358604431
2	Tenderness	3ovjw5HZZv43SxTwApooCM	1715182907.6270208	1715182991.6312454	1715182991.8603551	1715183015.6331887	1715183015.9300077	24.069652557373047	84	84.23333430290222	0.23333430290222168	108.30298686027527
3	Tenderness	3mQFj3pdKyArVUQRTxhQcH	1715182907.6270208	1715183021.6350794	1715183021.8099616	1715183045.636206	1715183045.9300916	24.12013006210327	114	114.18294072151184	0.18294072151184082	138.3030707836151
4	Sadness	79JW4tqG3AigegX3sKRxgi	1715182907.6270208	1715183063.636935	1715183063.9214528	1715183087.6376338	1715183088.0841105	24.162657737731934	156	156.29443192481995	0.2944319248199463	180.45708966255188
5	Sadness	6vliK4BzAAeQjIaz27I2Db	1715182907.6270208	1715183093.6393769	1715183093.8792527	1715183117.6402054	1715183117.8651404	23.9858877658844	186	186.25223183631897	0.2522318363189697	210.23811960220337
6	Nostalgia	3qieYtq2M6PXHYPovh9iBl	1715182907.6270208	1715183135.6402292	1715183135.9651062	1715183159.6409194	1715183159.9261744	23.961068153381348	228	228.33808541297913	0.338085412979126	252.29915356636047
7	Nostalgia	0UvQihfqIXMt8Bx8YOB0GP	1715182907.6270208	1715183165.6425655	1715183165.8736727	1715183189.643818	1715183190.0735319	24.199859142303467	258	258.2466518878937	0.24665188789367676	282.44651103019714
8	Wonder	5T8EDUDqKcs6OSOwEsfqG7	1715182907.6270208	1715183207.644018	1715183207.8800082	1715183231.6452458	1715183232.1506467	24.270638465881348	300	300.25298738479614	0.2529873847961426	324.5236258506775
9	Wonder	4uUG5RXrOk84mYEfFvj3cK	1715182907.6270208	1715183237.6466415	1715183237.9560738	1715183261.6468322	1715183261.9445305	23.98845672607422	330	330.32905292510986	0.3290529251098633	354.3175096511841
10	Peacefulness	2LawezPeJhN4AWuSB0GtAU	1715182907.6270208	1715183279.6481967	1715183279.9312332	1715183303.64869	1715183303.9697196	24.03848648071289	372	372.30421233177185	0.3042123317718506	396.34269881248474
11	Peacefulness	3NfxSdJnVdon1axzloJgba	1715182907.6270208	1715183309.6487405	1715183309.8994043	1715183333.6501102	1715183334.007273	24.107868671417236	402	402.2723834514618	0.272383451461792	426.380252122879
12	Transcendence	0bXpmJyHHYPk6QBFj25bYF	1715182907.6270208	1715183351.6506724	1715183351.8903403	1715183375.6507425	1715183375.9446392	24.054298877716064	444	444.2633194923401	0.2633194923400879	468.31761837005615
13	Transcendence	7rBpjxstrSsuOLqnuOC028	1715182907.6270208	1715183381.650992	1715183381.8820174	1715183405.6520054	1715183406.000714	24.118696689605713	474	474.25499653816223	0.25499653816223145	498.37369322776794
14	Joyful activation	6gJdDnF2TzfA1WPMXuCa3x	1715182907.6270208	1715183423.6537044	1715183423.9444118	1715183447.6549487	1715183447.941298	23.996886253356934	516	516.3173909187317	0.31739091873168945	540.3142771720886
15	Joyful activation	1DojFoewF8FyySBMbZ9TXt	1715182907.6270208	1715183453.6553116	1715183453.8925018	1715183477.6557796	1715183477.954608	24.062106132507324	546	546.2654809951782	0.26548099517822266	570.3275871276855
16	Power	2zYzyRzz6pRmhPzyfMEC8s	1715182907.6270208	1715183495.655919	1715183495.895899	1715183519.6569295	1715183519.9565582	24.060659170150757	588	588.2688782215118	0.2688782215118408	612.3295373916626
17	Power	1TRr8Pp2uOqL24fMHpJyV3	1715182907.6270208	1715183525.6578794	1715183525.8944275	1715183549.6596375	1715183550.1808262	24.2863986492157	618	618.2674067020416	0.267406702041626	642.5538053512573
