	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Peacefulness	2hNvu4bGZFOoop3PbornV2	1688999675.5806625	1688999687.5826335	1688999687.864532	1688999711.5840535	1688999711.9513786	24.086846590042114	12	12.283869504928589	0.28386950492858887	36.3707160949707
1	Peacefulness	5fpEDGQX0Ah3utGnFYulQZ	1688999675.5806625	1688999717.5842233	1688999717.7822375	1688999741.5844345	1688999741.9376366	24.155399084091187	42	42.20157504081726	0.20157504081726074	66.35697412490845
2	Tenderness	202lm9YX5WmAac83tOGlVn	1688999675.5806625	1688999759.5848079	1688999759.8291209	1688999783.585508	1688999783.8199437	23.990822792053223	84	84.24845838546753	0.2484583854675293	108.23928117752075
3	Tenderness	0Cp7pkYwl4WCGRHhrfcsrg	1688999675.5806625	1688999789.5856676	1688999789.78639	1688999813.5872207	1688999813.8412216	24.054831504821777	114	114.20572757720947	0.20572757720947266	138.26055908203125
4	Transcendence	3CAX47TnPqTujLIQTw8nwI	1688999675.5806625	1688999831.5888386	1688999831.7530997	1688999855.5906663	1688999855.834026	24.080926418304443	156	156.17243719100952	0.17243719100952148	180.25336360931396
5	Transcendence	6pWgRkpqVfxnj3WuIcJ7WP	1688999675.5806625	1688999861.5909457	1688999861.774358	1688999885.5922213	1688999885.8281667	24.05380868911743	186	186.19369554519653	0.1936955451965332	210.24750423431396
6	Joyful activation	7hQJA50XrCWABAu5v6QZ4i	1688999675.5806625	1688999903.59251	1688999903.8255873	1688999927.5925736	1688999927.8224747	23.99688744544983	228	228.24492478370667	0.24492478370666504	252.2418122291565
7	Joyful activation	70gUyEXSf3OVXaPQ0oVnGb	1688999675.5806625	1688999933.5937243	1688999933.784519	1688999957.5949426	1688999957.9640622	24.179543256759644	258	258.2038564682007	0.2038564682006836	282.3833997249603
8	Power	5KX1zLcBZ5bv8iA1odyonT	1688999675.5806625	1688999975.5969129	1688999975.8196044	1688999999.5977738	1688999999.842009	24.022404670715332	300	300.2389419078827	0.23894190788269043	324.261346578598
9	Power	3skn2lauGk7Dx6bVIt5DVj	1688999675.5806625	1689000005.599114	1689000005.762913	1689000029.601092	1689000029.8372672	24.07435417175293	330	330.18225049972534	0.1822504997253418	354.25660467147827
10	Nostalgia	0CH0c7zoAzvNkDqc7Mubqt	1688999675.5806625	1689000047.6027162	1689000047.7774127	1689000071.602758	1689000071.9243565	24.14694380760193	372	372.196750164032	0.19675016403198242	396.3436939716339
11	Nostalgia	4ewazQLXFTDC8XvCbhvtXs	1688999675.5806625	1689000077.604354	1689000077.8441365	1689000101.6055944	1689000101.9041846	24.06004810333252	402	402.26347398757935	0.2634739875793457	426.32352209091187
12	Tension	73nNXl2PZ1Z6j2pbfl8N8R	1688999675.5806625	1689000119.6064522	1689000119.8458734	1689000143.6072855	1689000143.834492	23.98861861228943	444	444.2652108669281	0.2652108669281006	468.25382947921753
13	Tension	3iUrvvdTgIFMrFPxkrRgTf	1688999675.5806625	1689000149.6074011	1689000149.7818248	1689000173.607569	1689000173.9691756	24.187350749969482	474	474.20116233825684	0.20116233825683594	498.3885130882263
14	Sadness	5vOWPj3J5C937jSNyOIoLV	1688999675.5806625	1689000191.60874	1689000191.8339276	1689000215.609565	1689000215.8368325	24.002904891967773	516	516.2532651424408	0.2532651424407959	540.2561700344086
15	Sadness	5fVZC9GiM4e8vu99W0Xf6J	1688999675.5806625	1689000221.6095762	1689000221.8416047	1689000245.6108196	1689000245.9798472	24.138242483139038	546	546.2609422206879	0.2609422206878662	570.3991847038269
16	Wonder	1Q3t9fWvHUXKsMmpD2XpUu	1688999675.5806625	1689000263.6127772	1689000263.7809324	1689000287.6129665	1689000287.8449624	24.064029932022095	588	588.2002699375153	0.2002699375152588	612.2642998695374
17	Wonder	2Y6uY65ZwKl9WbVOvKyZg6	1688999675.5806625	1689000293.6146579	1689000293.8377552	1689000317.6161158	1689000317.9126983	24.07494306564331	618	618.2570927143097	0.2570927143096924	642.332035779953
