	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Tension	1KfRJP0x5CnO4DmmYKfko5	1720796767.8823977	1720796779.8843877	1720796780.124019	1720796803.8860793	1720796804.1675508	24.043531894683838	12	12.241621255874634	0.2416212558746338	36.28515315055847
1	Tension	3fleq5m89Tmdg10dcJslrt	1720796767.8823977	1720796809.8872283	1720796810.1701732	1720796833.8878694	1720796834.334492	24.164318799972534	42	42.28777551651001	0.28777551651000977	66.45209431648254
2	Power	7eA7zqW045T9BfzcC90NZl	1720796767.8823977	1720796851.8881972	1720796852.1125374	1720796875.8887036	1720796876.1582408	24.045703411102295	84	84.23013973236084	0.23013973236083984	108.27584314346313
3	Power	7F6zGwyY7UgK41oINPYeys	1720796767.8823977	1720796881.889344	1720796882.1206093	1720796905.8900533	1720796906.105577	23.984967708587646	114	114.2382116317749	0.23821163177490234	138.22317934036255
4	Peacefulness	0d3mX4cZEucXC2TNYtGpix	1720796767.8823977	1720796923.8900938	1720796924.2111058	1720796947.8901114	1720796948.168516	23.957410097122192	156	156.32870817184448	0.3287081718444824	180.28611826896667
5	Peacefulness	3D9u1UpCD8FU7LZFsMvVZQ	1720796767.8823977	1720796953.8906395	1720796954.1679907	1720796977.8909612	1720796978.1778693	24.009878635406494	186	186.2855930328369	0.28559303283691406	210.2954716682434
6	Nostalgia	7clUVcSOtkNWa58Gw5RfD4	1720796767.8823977	1720796995.8918784	1720796996.1302016	1720797019.893084	1720797020.1925364	24.062334775924683	228	228.2478039264679	0.2478039264678955	252.31013870239258
7	Nostalgia	3yns3l9w4rYdJK4HAPmO3N	1720796767.8823977	1720797025.8949723	1720797026.1229308	1720797049.8965964	1720797050.3228288	24.19989800453186	258	258.2405331134796	0.24053311347961426	282.4404311180115
8	Tenderness	51REyltyZa0nyob7Vpqomd	1720796767.8823977	1720797067.8980048	1720797068.1251044	1720797091.8983567	1720797092.1864796	24.0613751411438	300	300.2427067756653	0.2427067756652832	324.3040819168091
9	Tenderness	754kgU5rWscRTfvlsuEwFp	1720796767.8823977	1720797097.8990684	1720797098.1286063	1720797121.9004617	1720797122.187948	24.05934166908264	330	330.2462086677551	0.24620866775512695	354.30555033683777
10	Transcendence	53lOBWy0LP99Gb1ugvXHd9	1720796767.8823977	1720797139.901525	1720797140.1942499	1720797163.901636	1720797164.1895628	23.995312929153442	372	372.3118522167206	0.31185221672058105	396.307165145874
11	Transcendence	6jXPZid0KLorvgIDP6TiSo	1720796767.8823977	1720797169.9032116	1720797170.1256545	1720797193.9046345	1720797194.2548892	24.129234790802002	402	402.24325680732727	0.2432568073272705	426.3724915981293
12	Joyful activation	0w5CRIokPrQAAq7OdIKesr	1720796767.8823977	1720797211.9052038	1720797212.0725102	1720797235.9064407	1720797236.1175447	24.045034408569336	444	444.1901125907898	0.19011259078979492	468.23514699935913
13	Joyful activation	1SXqpEbNq7JTmavDPlx40R	1720796767.8823977	1720797241.9066012	1720797242.1279347	1720797265.9083798	1720797266.2093332	24.081398487091064	474	474.2455370426178	0.24553704261779785	498.32693552970886
14	Wonder	1dGXJHuSQ9v8SgKYAGBP4R	1720796767.8823977	1720797283.9085948	1720797284.129365	1720797307.9090147	1720797308.3357196	24.20635461807251	516	516.2469673156738	0.24696731567382812	540.4533219337463
15	Wonder	0WK7Grq7TS8gNHPNFqydmK	1720796767.8823977	1720797313.9093251	1720797314.203044	1720797337.9111776	1720797338.2724862	24.06944227218628	546	546.3206462860107	0.3206462860107422	570.390088558197
16	Sadness	28cnXtME493VX9NOw9cIUh	1720796767.8823977	1720797355.9130607	1720797356.1406155	1720797379.9133291	1720797380.195601	24.054985523223877	588	588.2582178115845	0.25821781158447266	612.3132033348083
17	Sadness	2kfciuO0ZnQcPkHlWGTfQG	1720796767.8823977	1720797385.9135773	1720797386.0787072	1720797409.9145272	1720797410.4574726	24.37876534461975	618	618.1963095664978	0.19630956649780273	642.5750749111176
