	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Peacefulness	2LawezPeJhN4AWuSB0GtAU	1715185161.8428013	1715185173.8464203	1715185174.1335204	1715185197.8483505	1715185198.0803914	23.946871042251587	12	12.290719032287598	0.29071903228759766	36.237590074539185
1	Peacefulness	3NfxSdJnVdon1axzloJgba	1715185161.8428013	1715185203.8502343	1715185204.099833	1715185227.8503373	1715185228.2795072	24.17967414855957	42	42.25703167915344	0.2570316791534424	66.43670582771301
2	Sadness	79JW4tqG3AigegX3sKRxgi	1715185161.8428013	1715185245.8521385	1715185246.086999	1715185269.8539937	1715185270.0783331	23.991334199905396	84	84.2441976070404	0.24419760704040527	108.2355318069458
3	Sadness	6vliK4BzAAeQjIaz27I2Db	1715185161.8428013	1715185275.854837	1715185276.1573172	1715185299.8555121	1715185300.2174487	24.060131549835205	114	114.3145158290863	0.3145158290863037	138.3746473789215
4	Nostalgia	3qieYtq2M6PXHYPovh9iBl	1715185161.8428013	1715185317.856143	1715185318.2151062	1715185341.8573027	1715185342.0895994	23.87449312210083	156	156.37230491638184	0.37230491638183594	180.24679803848267
5	Nostalgia	0UvQihfqIXMt8Bx8YOB0GP	1715185161.8428013	1715185347.8581471	1715185348.0910845	1715185371.8582482	1715185372.082206	23.991121530532837	186	186.2482831478119	0.24828314781188965	210.23940467834473
6	Joyful activation	6gJdDnF2TzfA1WPMXuCa3x	1715185161.8428013	1715185389.859567	1715185390.1441054	1715185413.860896	1715185414.1648135	24.020708084106445	228	228.30130410194397	0.3013041019439697	252.32201218605042
7	Joyful activation	1DojFoewF8FyySBMbZ9TXt	1715185161.8428013	1715185419.8618932	1715185420.148587	1715185443.8633218	1715185444.15211	24.003523111343384	258	258.30578565597534	0.3057856559753418	282.3093087673187
8	Transcendence	0bXpmJyHHYPk6QBFj25bYF	1715185161.8428013	1715185461.8637004	1715185462.1773198	1715185485.864014	1715185486.135684	23.958364248275757	300	300.3345184326172	0.3345184326171875	324.29288268089294
9	Transcendence	7rBpjxstrSsuOLqnuOC028	1715185161.8428013	1715185491.8648374	1715185492.1827288	1715185515.8649364	1715185516.1637542	23.981025457382202	330	330.33992743492126	0.33992743492126465	354.32095289230347
10	Wonder	5T8EDUDqKcs6OSOwEsfqG7	1715185161.8428013	1715185533.8651237	1715185534.1647656	1715185558.152116	1715185558.4768107	24.312045097351074	372	372.321964263916	0.3219642639160156	396.6340093612671
11	Wonder	4uUG5RXrOk84mYEfFvj3cK	1715185161.8428013	1715185564.1539671	1715185564.3879251	1715185588.154953	1715185588.455673	24.067747831344604	402	402.5451238155365	0.545123815536499	426.6128716468811
12	Tenderness	3ovjw5HZZv43SxTwApooCM	1715185161.8428013	1715185606.1550686	1715185606.4577405	1715185630.1569893	1715185630.4227529	23.965012311935425	444	444.6149392127991	0.6149392127990723	468.5799515247345
13	Tenderness	3mQFj3pdKyArVUQRTxhQcH	1715185161.8428013	1715185636.1577547	1715185636.4486258	1715185660.1592798	1715185660.5750358	24.126410007476807	474	474.60582447052	0.6058244705200195	498.7322344779968
14	Tension	73SpzrcaHk0RQPFP73vqVR	1715185161.8428013	1715185678.1593862	1715185678.4725368	1715185702.159762	1715185702.377545	23.90500831604004	516	516.6297354698181	0.6297354698181152	540.5347437858582
15	Tension	3xZMPZQYETEn4hjor3TR1A	1715185161.8428013	1715185708.1606882	1715185708.445459	1715185732.1606958	1715185732.4686024	24.023143529891968	546	546.6026575565338	0.6026575565338135	570.6258010864258
16	Power	2zYzyRzz6pRmhPzyfMEC8s	1715185161.8428013	1715185750.1620257	1715185751.3794441	1715185774.1626825	1715185774.5928032	23.213359117507935	588	589.5366427898407	1.5366427898406982	612.7500019073486
17	Power	1TRr8Pp2uOqL24fMHpJyV3	1715185161.8428013	1715185780.16292	1715185780.4005466	1715185804.1634877	1715185804.4573452	24.056798696517944	618	618.557745218277	0.5577452182769775	642.6145439147949
