	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Tenderness	6eTGxxQxiTFE6LfZHC33Wm	1713273392.5139344	1713273404.5155687	1713273404.7366254	1713273428.5167398	1713273428.7429032	24.006277799606323	12	12.222691059112549	0.22269105911254883	36.22896885871887
1	Tenderness	2iXdwVdzA0KrI2Q0iZNJbX	1713273392.5139344	1713273434.5175562	1713273434.7398217	1713273458.5185814	1713273458.7542708	24.01444911956787	42	42.225887298583984	0.22588729858398438	66.24033641815186
2	Transcendence	3W2ZcrRsInZbjWylOi6KhZ	1713273392.5139344	1713273476.5194778	1713273476.7746124	1713273500.5200334	1713273500.7571173	23.982504844665527	84	84.26067805290222	0.2606780529022217	108.24318289756775
3	Transcendence	3pRaLNL3b8x5uBOcsgvdqM	1713273392.5139344	1713273506.521703	1713273506.7487419	1713273530.5218806	1713273530.7471888	23.998446941375732	114	114.23480749130249	0.23480749130249023	138.23325443267822
4	Peacefulness	62nFs5RnG7LcrNBk6oo1xl	1713273392.5139344	1713273548.5235724	1713273548.832172	1713273572.5236835	1713273572.6787298	23.84655785560608	156	156.31823754310608	0.3182375431060791	180.16479539871216
5	Peacefulness	3zBhihYUHBmGd2bcQIobrF	1713273392.5139344	1713273578.5248325	1713273578.7667868	1713273602.5248442	1713273602.736207	23.969420194625854	186	186.25285243988037	0.2528524398803711	210.22227263450623
6	Wonder	5T8EDUDqKcs6OSOwEsfqG7	1713273392.5139344	1713273620.5251887	1713273620.781749	1713273644.5258696	1713273644.7519412	23.970192193984985	228	228.26781463623047	0.26781463623046875	252.23800683021545
7	Wonder	7KGfjeGx88WUiMf93zzoU5	1713273392.5139344	1713273650.527334	1713273650.7618244	1713273674.527641	1713273674.75844	23.996615648269653	258	258.24788999557495	0.24788999557495117	282.2445056438446
8	Sadness	4Eicc9ZkxOFqicpYCz7LlQ	1713273392.5139344	1713273692.529573	1713273692.7937076	1713273716.5313802	1713273716.7605865	23.96687889099121	300	300.27977323532104	0.2797732353210449	324.24665212631226
9	Sadness	2xUQFT2ndnz4NAhKloClQU	1713273392.5139344	1713273722.5320635	1713273722.7509851	1713273746.5340064	1713273746.776266	24.025280952453613	330	330.23705077171326	0.23705077171325684	354.26233172416687
10	Nostalgia	7bSuN2UhQp8NBnbY47FyJu	1713273392.5139344	1713273764.5348618	1713273764.820072	1713273788.5349884	1713273788.9248173	24.104745388031006	372	372.3061375617981	0.3061375617980957	396.4108829498291
11	Nostalgia	6J3HNhDBIwEX11bX8hzx5u	1713273392.5139344	1713273794.5354211	1713273794.7615511	1713273818.5359907	1713273818.7561553	23.994604110717773	402	402.2476167678833	0.24761676788330078	426.2422208786011
12	Joyful activation	4cIwg5VY8Lo1NYwq7llOth	1713273392.5139344	1713273836.537591	1713273836.7696218	1713273860.5391946	1713273860.8687913	24.099169492721558	444	444.25568747520447	0.2556874752044678	468.354856967926
13	Joyful activation	24SUWisv2lYQiB3bVpE1sn	1713273392.5139344	1713273866.5401518	1713273867.0181422	1713273890.5414517	1713273890.8257837	23.80764150619507	474	474.50420784950256	0.5042078495025635	498.31184935569763
14	Power	2wUlYDGGXlSvm2NkGj0Qio	1713273392.5139344	1713273908.541548	1713273908.7662628	1713273932.5417476	1713273932.78389	24.017627239227295	516	516.2523283958435	0.25232839584350586	540.2699556350708
15	Power	20I8RduZC2PWMWTDCZuuAN	1713273392.5139344	1713273938.543339	1713273938.7776856	1713273962.5441074	1713273962.7734306	23.995744943618774	546	546.2637512683868	0.2637512683868408	570.2594962120056
16	Tension	16TJVGYbO2boaQT2EGGMyl	1713273392.5139344	1713273980.5455918	1713273980.8101988	1713274004.5456288	1713274004.9158015	24.105602741241455	588	588.2962644100189	0.2962644100189209	612.4018671512604
17	Tension	5w3AsUEGoaCuBhDp14umuy	1713273392.5139344	1713274010.5468342	1713274010.7817152	1713274034.547681	1713274034.79569	24.013974905014038	618	618.2677807807922	0.26778078079223633	642.2817556858063
