	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Power	6iNBM60VQtPUUhkKfwa5KV	1718718605.1166449	1718718617.1175926	1718718617.345624	1718718641.118696	1718718641.3375547	23.991930723190308	12	12.228979110717773	0.22897911071777344	36.22090983390808
1	Power	0COqiPhxzoWICwFCS4eZcp	1718718605.1166449	1718718647.119733	1718718647.3596992	1718718671.120948	1718718671.4778445	24.11814522743225	42	42.24305438995361	0.24305438995361328	66.36119961738586
2	Sadness	3xXBsjrbG1xQIm1xv1cKOt	1718718605.1166449	1718718689.121714	1718718689.412419	1718718713.1233754	1718718713.4227376	24.010318517684937	84	84.29577422142029	0.2957742214202881	108.30609273910522
3	Sadness	4S5TwBi3D8TDEHh37GdbxV	1718718605.1166449	1718718719.1252625	1718718719.5864944	1718718743.1267467	1718718743.4069986	23.820504188537598	114	114.46984958648682	0.4698495864868164	138.2903537750244
4	Wonder	4sCSUQnWQ6HJsOMjfPicdn	1718718605.1166449	1718718761.1272879	1718718761.4267745	1718718785.1273482	1718718785.3427992	23.916024684906006	156	156.31012964248657	0.31012964248657227	180.22615432739258
5	Wonder	64VzxgaIpjB52YUtsF9St7	1718718605.1166449	1718718791.1276498	1718718791.40975	1718718815.127809	1718718815.5394254	24.12967538833618	186	186.29310512542725	0.2931051254272461	210.42278051376343
6	Joyful activation	3csZY6R1VdpcETj3oZPm3F	1718718605.1166449	1718718833.1283164	1718718833.436071	1718718857.1292655	1718718857.4673758	24.031304836273193	228	228.3194260597229	0.3194260597229004	252.3507308959961
7	Joyful activation	21deaXqPzYtLunigUjpZuB	1718718605.1166449	1718718863.1302907	1718718863.4248993	1718718887.1313596	1718718887.5459037	24.121004343032837	258	258.30825448036194	0.3082544803619385	282.4292588233948
8	Tenderness	5VRVc5Cq5MbKJG5llJ8XvH	1718718605.1166449	1718718905.131364	1718718905.4189293	1718718929.1315548	1718718929.4153829	23.996453523635864	300	300.30228447914124	0.30228447914123535	324.2987380027771
9	Tenderness	77Ztfd0fzBA9sPJNVmvyGF	1718718605.1166449	1718718935.1322718	1718718935.4638598	1718718959.133478	1718718959.5432081	24.07934832572937	330	330.3472149372101	0.347214937210083	354.42656326293945
10	Transcendence	5Yg45DuQgNc1dRw11pixQi	1718718605.1166449	1718718977.1341546	1718718977.3665464	1718719001.1349666	1718719001.5552833	24.18873691558838	372	372.24990153312683	0.24990153312683105	396.4386384487152
11	Transcendence	5AZJbQwaYGHWCY53k7fO57	1718718605.1166449	1718719007.1366029	1718719007.4341872	1718719031.1374524	1718719031.5511959	24.117008686065674	402	402.3175423145294	0.31754231452941895	426.4345510005951
12	Peacefulness	6qC8Jj1XOxknPm8N7EbzKX	1718718605.1166449	1718719049.1379383	1718719049.4316654	1718719073.1388743	1718719073.3602345	23.928569078445435	444	444.31502056121826	0.3150205612182617	468.2435896396637
13	Peacefulness	2d1MywHy6FwKdzxFuSJnwl	1718718605.1166449	1718719079.1388829	1718719079.4222167	1718719103.139568	1718719103.3971362	23.97491955757141	474	474.3055717945099	0.3055717945098877	498.2804913520813
14	Nostalgia	2rZFSXWR2B5YCASIFuD8gh	1718718605.1166449	1718719121.1398695	1718719121.3880217	1718719145.1404781	1718719145.362195	23.974173307418823	516	516.2713768482208	0.2713768482208252	540.2455501556396
15	Nostalgia	7wqSzGeodspE3V6RBD5W8L	1718718605.1166449	1718719151.1423614	1718719151.430129	1718719175.14249	1718719175.4302812	24.000152111053467	546	546.3134841918945	0.31348419189453125	570.313636302948
16	Tension	4fouWK6XVHhzl78KzQ1UjL	1718718605.1166449	1718719193.144431	1718719193.4409096	1718719217.144565	1718719217.5632315	24.122321844100952	588	588.3242647647858	0.3242647647857666	612.4465866088867
17	Tension	7Ie9W94M7OjPoZVV216Xus	1718718605.1166449	1718719223.1447785	1718719223.4375925	1718719247.1455052	1718719247.4401412	24.002548694610596	618	618.3209476470947	0.32094764709472656	642.3234963417053
