	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Joyful activation	5T8EDUDqKcs6OSOwEsfqG7	1716815514.4520278	1716815526.4548507	1716815526.695705	1716815550.4555678	1716815550.7477517	24.05204677581787	12	12.243677139282227	0.24367713928222656	36.2957239151001
1	Joyful activation	1XHeQupI4MWPA7UrU6EKEu	1716815514.4520278	1716815556.4573927	1716815556.7705736	1716815580.4588869	1716815580.7475746	23.977000951766968	42	42.31854581832886	0.3185458183288574	66.29554677009583
2	Power	5tyydTVYAegGZ5BIqM9DEo	1716815514.4520278	1716815598.459629	1716815598.7504287	1716815622.4597888	1716815622.713521	23.96309232711792	84	84.29840087890625	0.29840087890625	108.26149320602417
3	Power	6y20BV5L33R8YXM0YuI38N	1716815514.4520278	1716815628.4615726	1716815628.7557864	1716815652.4631886	1716815652.7294745	23.97368812561035	114	114.30375862121582	0.3037586212158203	138.27744674682617
4	Tension	6ZFbXIJkuI1dVNWvzJzown	1716815514.4520278	1716815670.464754	1716815670.6987538	1716815694.465437	1716815694.696505	23.997751235961914	156	156.24672603607178	0.24672603607177734	180.2444772720337
5	Tension	4uS7ipqw4uwv08NAN63NaE	1716815514.4520278	1716815700.4669187	1716815700.7645402	1716815724.4677796	1716815724.6948445	23.930304288864136	186	186.3125123977661	0.3125123977661133	210.24281668663025
6	Sadness	07XaOyTS5hyaWiUK1Bc3bR	1716815514.4520278	1716815742.4694963	1716815742.6839852	1716815766.4696443	1716815766.759034	24.075048685073853	228	228.2319574356079	0.23195743560791016	252.30700612068176
7	Sadness	5f8kdCNqi2nEuYt4vLcmyn	1716815514.4520278	1716815772.471527	1716815772.7025967	1716815796.4734864	1716815796.8294184	24.126821756362915	258	258.25056886672974	0.25056886672973633	282.37739062309265
8	Peacefulness	1ZqzUiCQICQmjtpbFZYwnt	1716815514.4520278	1716815814.4744728	1716815814.709666	1716815838.475653	1716815838.7183244	24.008658409118652	300	300.2576382160187	0.25763821601867676	324.26629662513733
9	Peacefulness	0bOTwiXGuc6PEZ9YRMzDuZ	1716815514.4520278	1716815844.4757555	1716815844.765475	1716815868.47766	1716815868.800464	24.03498888015747	330	330.31344723701477	0.3134472370147705	354.34843611717224
10	Nostalgia	1hcc5qmRUBSoBkanwuQBuo	1716815514.4520278	1716815886.4788413	1716815886.7685378	1716815910.479527	1716815910.7138052	23.94526743888855	372	372.3165099620819	0.3165099620819092	396.26177740097046
11	Nostalgia	1Z9EAxlybPS8FA9JJk7Q6O	1716815514.4520278	1716815916.4796984	1716815916.748015	1716815940.4810467	1716815940.9151847	24.16716980934143	402	402.2959871292114	0.2959871292114258	426.46315693855286
12	Tenderness	0PfSBfYfrnqknxSwrSS1iC	1716815514.4520278	1716815958.4811778	1716815958.7860017	1716815982.482272	1716815982.7086627	23.922661066055298	444	444.3339738845825	0.33397388458251953	468.2566349506378
13	Tenderness	4YJUTdZ0Pgl0ZeNyHYXeLd	1716815514.4520278	1716815988.4834218	1716815988.7746751	1716816012.4850125	1716816012.9070857	24.132410526275635	474	474.32264733314514	0.3226473331451416	498.4550578594208
14	Transcendence	1PyI8yYqS0cEzueJAlvVIL	1716815514.4520278	1716816030.4856024	1716816030.768561	1716816054.4856548	1716816054.7286103	23.960049390792847	516	516.3165330886841	0.31653308868408203	540.2765824794769
15	Transcendence	62dD6AMgEvZq5OCHAZ7d9a	1716815514.4520278	1716816060.486444	1716816060.8866084	1716816084.486962	1716816084.7125607	23.825952291488647	546	546.4345805644989	0.43458056449890137	570.2605328559875
16	Wonder	48enDHi3k8mh24S2BI8SES	1716815514.4520278	1716816102.4878836	1716816102.709857	1716816126.4891675	1716816126.7304885	24.020631551742554	588	588.2578291893005	0.2578291893005371	612.2784607410431
17	Wonder	0FFOaRW0WTJgd12cKEKuaC	1716815514.4520278	1716816132.4894745	1716816132.748435	1716816156.4913342	1716816156.8213804	24.07294535636902	618	618.2964072227478	0.29640722274780273	642.3693525791168
