	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Wonder	7Fg4jpwpkdkGCvq1rrXnvx	1685634435.9294283	1685634447.9305472	1685634448.0978181	1685634471.9307702	1685634472.1674635	24.069645404815674	12	12.168389797210693	0.16838979721069336	36.23803520202637
1	Wonder	3q9npStSssk7sZWotiNQLK	1685634435.9294283	1685634477.9314544	1685634478.154214	1685634501.9314594	1685634502.160921	24.006707191467285	42	42.224785566329956	0.22478556632995605	66.23149275779724
2	Tension	2Q6RiCAKOrxRYtvl9pcpjY	1685634435.9294283	1685634519.9321046	1685634520.0857031	1685634543.9332128	1685634544.4160814	24.33037829399109	84	84.15627479553223	0.15627479553222656	108.48665308952332
3	Tension	4xHWH1jwV5j4mBYRhxPbwZ	1685634435.9294283	1685634549.9341874	1685634550.1627233	1685634573.9361007	1685634574.157486	23.994762659072876	114	114.23329496383667	0.23329496383666992	138.22805762290955
4	Joyful activation	0w07a1vsKahQMM0RnPXHVT	1685634435.9294283	1685634591.9362473	1685634592.159245	1685634615.9367378	1685634616.237489	24.07824397087097	156	156.22981667518616	0.22981667518615723	180.30806064605713
5	Joyful activation	4cOdK2wGLETKBW3PvgPWqT	1685634435.9294283	1685634621.938536	1685634622.1597562	1685634645.9398522	1685634646.153531	23.993774890899658	186	186.23032784461975	0.23032784461975098	210.2241027355194
6	Nostalgia	5wQnmLuC1W7ATsArWACrgW	1685634435.9294283	1685634663.9401248	1685634664.1040053	1685634687.9418101	1685634688.1740963	24.070091009140015	228	228.17457699775696	0.174576997756958	252.24466800689697
7	Nostalgia	1XyqWJm41Te264Rizhg1gh	1685634435.9294283	1685634693.9421563	1685634694.1631167	1685634717.9423237	1685634718.1632757	24.00015902519226	258	258.2336883544922	0.2336883544921875	282.23384737968445
8	Transcendence	7va6NoKrAACTiCVBYxUdRi	1685634435.9294283	1685634735.9435105	1685634736.2436526	1685634759.9444366	1685634760.1621199	23.9184672832489	300	300.31422424316406	0.3142242431640625	324.23269152641296
9	Transcendence	25tZHMv3ctlzqDaHAeuU9c	1685634435.9294283	1685634765.9447296	1685634766.1274846	1685634789.9461474	1685634790.3534024	24.22591781616211	330	330.1980562210083	0.19805622100830078	354.4239740371704
10	Sadness	0bmb8jg6ljmt8qBmIsMNvL	1685634435.9294283	1685634807.9474902	1685634808.17393	1685634831.948771	1685634832.2308586	24.056928634643555	372	372.24450159072876	0.24450159072875977	396.3014302253723
11	Sadness	45366JXjg6UYJfVp50w9pa	1685634435.9294283	1685634837.9498465	1685634838.1882064	1685634861.9503348	1685634862.3813524	24.193145990371704	402	402.25877809524536	0.25877809524536133	426.45192408561707
12	Tenderness	0aNCFJfB48ZPn8ibcqvMiZ	1685634435.9294283	1685634879.950887	1685634880.1933148	1685634903.9523518	1685634904.3088484	24.115533590316772	444	444.2638864517212	0.2638864517211914	468.37942004203796
13	Tenderness	6zC0mpGYwbNTpk9SKwh08f	1685634435.9294283	1685634909.9537587	1685634910.1725302	1685634933.953863	1685634934.176313	24.003782749176025	474	474.24310183525085	0.2431018352508545	498.2468845844269
14	Power	59WN2psjkt1tyaxjspN8fp	1685634435.9294283	1685634951.954134	1685634952.2776244	1685634975.9546428	1685634976.1813304	23.903706073760986	516	516.3481960296631	0.34819602966308594	540.2519021034241
15	Power	4dVbhS6OiYvFikshyaQaCN	1685634435.9294283	1685634981.9561474	1685634982.1837614	1685635005.9567158	1685635006.1769538	23.993192434310913	546	546.2543330192566	0.2543330192565918	570.2475254535675
16	Peacefulness	2jdAk8ATWIL3dwT47XpRfu	1685634435.9294283	1685635023.9587157	1685635024.386781	1685635047.960214	1685635048.1806371	23.793856143951416	588	588.4573526382446	0.4573526382446289	612.251208782196
17	Peacefulness	1OEoNpiyqBghuEUaT6Je6U	1685634435.9294283	1685635053.9621568	1685635054.1287303	1685635077.9621701	1685635078.2175052	24.088774919509888	618	618.1993019580841	0.19930195808410645	642.288076877594
