	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Sadness	54KFQB6N4pn926IUUYZGzK	1683737616.7860184	1683737628.7871187	1683737629.028758	1683737652.7876089	1683737653.1686304	24.139872312545776	12	12.2427396774292	0.24273967742919922	36.382611989974976
1	Sadness	1AHPsqF3EtHeWpOM06Y3Y4	1683737616.7860184	1683737658.7889373	1683737659.053607	1683737682.790406	1683737683.09936	24.045753002166748	42	42.26758861541748	0.26758861541748047	66.31334161758423
2	Joyful activation	5kRBzRZmZTXVg8okC7SJFZ	1683737616.7860184	1683737700.7910311	1683737701.0459733	1683737724.7910454	1683737725.1017568	24.05578351020813	84	84.2599549293518	0.25995492935180664	108.31573843955994
3	Joyful activation	2PpruBYCo4H7WOBJ7Q2EwM	1683737616.7860184	1683737730.7913096	1683737731.1903365	1683737754.7923813	1683737755.0336556	23.843319177627563	114	114.40431809425354	0.40431809425354004	138.2476372718811
4	Tenderness	5PbSvsljhgxijSYV5cG5xU	1683737616.7860184	1683737772.792427	1683737773.0333557	1683737796.7939007	1683737797.044505	24.011149168014526	156	156.2473373413086	0.24733734130859375	180.25848650932312
5	Tenderness	3tkLVA291cVPJLHlSSOjHN	1683737616.7860184	1683737802.7951198	1683737803.0316904	1683737826.7958076	1683737827.0327277	24.00103735923767	186	186.24567198753357	0.24567198753356934	210.24670934677124
6	Tension	4GBZUZe04pHVN0TLhejCSS	1683737616.7860184	1683737844.7969394	1683737845.0922966	1683737868.797844	1683737869.0342712	23.941974639892578	228	228.30627822875977	0.3062782287597656	252.24825286865234
7	Tension	1AHPsqF3EtHeWpOM06Y3Y4	1683737616.7860184	1683737874.7987506	1683737875.1100075	1683737898.800404	1683737899.041356	23.9313485622406	258	258.3239891529083	0.3239891529083252	282.2553377151489
8	Power	3jS7bB0oXVOwGFZn3aE5NV	1683737616.7860184	1683737916.8007698	1683737917.1277316	1683737940.801641	1683737941.0374696	23.909738063812256	300	300.34171319007874	0.34171319007873535	324.251451253891
9	Power	3lQO10djAi0Ym506za76Wt	1683737616.7860184	1683737946.8032265	1683737947.04092	1683737970.804357	1683737971.043222	24.002301931381226	330	330.25490164756775	0.254901647567749	354.257203578949
10	Nostalgia	7zkLpY72g6lKQbiHDqri1S	1683737616.7860184	1683737988.805693	1683737989.0538657	1683738012.8072753	1683738013.0440607	23.99019503593445	372	372.2678472995758	0.26784729957580566	396.25804233551025
11	Nostalgia	2iXdwVdzA0KrI2Q0iZNJbX	1683737616.7860184	1683738018.808195	1683738019.0396183	1683738042.8083935	1683738043.0515594	24.0119411945343	402	402.25359988212585	0.2535998821258545	426.26554107666016
12	Wonder	754kgU5rWscRTfvlsuEwFp	1683737616.7860184	1683738060.80997	1683738061.0384965	1683738084.8106148	1683738085.0505087	24.012012243270874	444	444.2524781227112	0.25247812271118164	468.26449036598206
13	Wonder	5v5Kra9bZOVKBXpfLVK2fP	1683737616.7860184	1683738090.8117564	1683738091.0542197	1683738114.8127167	1683738115.0663044	24.01208472251892	474	474.26820135116577	0.2682013511657715	498.2802860736847
14	Peacefulness	298GtxeVHZbbotHS1e3vxO	1683737616.7860184	1683738132.8136973	1683738133.0523345	1683738156.8148234	1683738157.0568118	24.00447726249695	516	516.2663161754608	0.26631617546081543	540.2707934379578
15	Peacefulness	5ARrtxJLVCeTv5TWo1oKgC	1683737616.7860184	1683738162.8159034	1683738163.1191695	1683738186.8166933	1683738187.0594556	23.94028615951538	546	546.333151102066	0.33315110206604004	570.2734372615814
16	Transcendence	0Gr2XQOIMaaUH86iOrWGur	1683737616.7860184	1683738204.8177564	1683738205.0764434	1683738228.8183715	1683738229.0573163	23.980872869491577	588	588.2904250621796	0.29042506217956543	612.2712979316711
17	Transcendence	1b9bGEtNOmiMD5gq7dGrxn	1683737616.7860184	1683738234.8186965	1683738235.074037	1683738258.8202622	1683738259.20698	24.13294291496277	618	618.2880187034607	0.28801870346069336	642.4209616184235
