	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Power	5tyydTVYAegGZ5BIqM9DEo	1716814459.5664985	1716814471.5684204	1716814471.8149118	1716814495.5699577	1716814495.996507	24.18159508705139	12	12.248413324356079	0.2484133243560791	36.43000841140747
1	Power	6y20BV5L33R8YXM0YuI38N	1716814459.5664985	1716814501.5699952	1716814501.8146656	1716814525.5706806	1716814525.8544545	24.039788961410522	42	42.24816703796387	0.2481670379638672	66.28795599937439
2	Transcendence	1PyI8yYqS0cEzueJAlvVIL	1716814459.5664985	1716814543.5713198	1716814543.8074846	1716814567.5717697	1716814567.8607352	24.053250551223755	84	84.24098610877991	0.24098610877990723	108.29423666000366
3	Transcendence	62dD6AMgEvZq5OCHAZ7d9a	1716814459.5664985	1716814573.5722218	1716814573.8329434	1716814597.5742357	1716814597.9788167	24.145873308181763	114	114.26644492149353	0.2664449214935303	138.4123182296753
4	Tenderness	0PfSBfYfrnqknxSwrSS1iC	1716814459.5664985	1716814615.5757613	1716814615.8059213	1716814639.5771208	1716814639.8617787	24.05585741996765	156	156.23942279815674	0.23942279815673828	180.2952802181244
5	Tenderness	4YJUTdZ0Pgl0ZeNyHYXeLd	1716814459.5664985	1716814645.577917	1716814645.86337	1716814669.5798216	1716814669.8164878	23.953117847442627	186	186.2968714237213	0.2968714237213135	210.24998927116394
6	Sadness	07XaOyTS5hyaWiUK1Bc3bR	1716814459.5664985	1716814687.5801098	1716814687.8015454	1716814717.876955	1716814718.2199488	30.418403387069702	228	228.2350468635559	0.2350468635559082	258.6534502506256
7	Sadness	5f8kdCNqi2nEuYt4vLcmyn	1716814459.5664985	1716814723.8775685	1716814724.1251538	1716814747.8783157	1716814748.0957334	23.970579624176025	258	264.5586552619934	6.558655261993408	288.52923488616943
8	Peacefulness	1ZqzUiCQICQmjtpbFZYwnt	1716814459.5664985	1716814765.8791158	1716814766.1425197	1716814789.8810272	1716814790.1728053	24.030285596847534	300	306.576021194458	6.576021194458008	330.60630679130554
9	Peacefulness	0bOTwiXGuc6PEZ9YRMzDuZ	1716814459.5664985	1716814795.8823826	1716814796.1143112	1716814819.882872	1716814820.12089	24.00657868385315	330	336.5478127002716	6.5478127002716064	360.55439138412476
10	Joyful activation	5T8EDUDqKcs6OSOwEsfqG7	1716814459.5664985	1716814837.882981	1716814838.1766152	1716814861.8837392	1716814862.1978993	24.021284103393555	372	378.6101167201996	6.610116720199585	402.63140082359314
11	Joyful activation	1XHeQupI4MWPA7UrU6EKEu	1716814459.5664985	1716814867.88464	1716814868.121386	1716814891.885056	1716814892.1829705	24.06158447265625	402	408.55488753318787	6.554887533187866	432.6164720058441
12	Wonder	48enDHi3k8mh24S2BI8SES	1716814459.5664985	1716814909.886876	1716814910.1241007	1716814933.8871472	1716814934.2474353	24.123334646224976	444	450.5576021671295	6.557602167129517	474.6809368133545
13	Wonder	0FFOaRW0WTJgd12cKEKuaC	1716814459.5664985	1716814939.888323	1716814940.1037223	1716814963.8899071	1716814964.1196525	24.01593017578125	474	480.53722381591797	6.537223815917969	504.5531539916992
14	Nostalgia	1hcc5qmRUBSoBkanwuQBuo	1716814459.5664985	1716814981.8902326	1716814982.1382308	1716815005.8914049	1716815006.1160347	23.977803945541382	516	522.5717322826385	6.57173228263855	546.5495362281799
15	Nostalgia	1Z9EAxlybPS8FA9JJk7Q6O	1716814459.5664985	1716815011.891948	1716815012.1601307	1716815035.892139	1716815036.1100986	23.949967861175537	546	552.5936322212219	6.593632221221924	576.5436000823975
16	Tension	6ZFbXIJkuI1dVNWvzJzown	1716814459.5664985	1716815053.8922782	1716815054.1507537	1716815077.8932922	1716815078.1090648	23.958311080932617	588	594.5842552185059	6.584255218505859	618.5425662994385
17	Tension	4uS7ipqw4uwv08NAN63NaE	1716814459.5664985	1716815083.8942835	1716815084.126153	1716815107.896069	1716815108.2047627	24.078609704971313	618	624.5596544742584	6.559654474258423	648.6382641792297
