	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Peacefulness	7fP1rYLOp7Yj7v9RCNRufc	1689783795.549112	1689783807.5503054	1689783807.7403154	1689783831.5504534	1689783831.7872055	24.046890020370483	12	12.191203355789185	0.19120335578918457	36.23809337615967
1	Peacefulness	6gEV64DR6tymTFOE4QLxdc	1689783795.549112	1689783837.550742	1689783837.7220345	1689783861.5522325	1689783861.8524246	24.130390167236328	42	42.17292237281799	0.17292237281799316	66.30331254005432
2	Sadness	4sZyGMVH9WFFm3qFo0WCBV	1689783795.549112	1689783879.553978	1689783879.8008163	1689783903.5558774	1689783903.8605986	24.05978226661682	84	84.25170421600342	0.25170421600341797	108.31148648262024
3	Sadness	1wy0VLQFdSZxhYDWuANvp0	1689783795.549112	1689783909.5559502	1689783909.8049176	1689783933.5564346	1689783933.8034263	23.99850869178772	114	114.25580549240112	0.25580549240112305	138.25431418418884
4	Joyful activation	3U34tMYhMbr6tBWZdCUp6f	1689783795.549112	1689783951.5568469	1689783951.7933278	1689783975.557819	1689783975.8047795	24.011451721191406	156	156.24421572685242	0.244215726852417	180.25566744804382
5	Joyful activation	1qbt0lhWF7LGtPFA4DxXjt	1689783795.549112	1689783981.5587883	1689783981.7252774	1689784005.5601473	1689784005.8594098	24.134132385253906	186	186.17616534233093	0.17616534233093262	210.31029772758484
6	Nostalgia	4mvb2QrG9ea14U9BQ8U9Q0	1689783795.549112	1689784023.5611076	1689784023.729161	1689784047.5617764	1689784047.9075744	24.17841339111328	228	228.18004894256592	0.18004894256591797	252.3584623336792
7	Nostalgia	0eHQwnJbapCEv23ekhq1VD	1689783795.549112	1689784053.5623863	1689784053.7331758	1689784077.5641117	1689784077.7656162	24.032440423965454	258	258.1840636730194	0.18406367301940918	282.21650409698486
8	Power	0N4OP61tVUsFczWiiGMEWX	1689783795.549112	1689784095.5643456	1689784095.7945788	1689784119.5644567	1689784119.9230244	24.128445625305176	300	300.24546670913696	0.2454667091369629	324.37391233444214
9	Power	1nmRZ6Q4lXtCHESNfTSeOS	1689783795.549112	1689784125.5647664	1689784125.789949	1689784149.5656037	1689784149.8322814	24.042332410812378	330	330.2408368587494	0.24083685874938965	354.28316926956177
10	Tenderness	0PGZrRaLLeRDm2RyvkCwni	1689783795.549112	1689784167.5668092	1689784167.8455894	1689784191.5670023	1689784191.9388971	24.093307733535767	372	372.29647731781006	0.2964773178100586	396.3897850513458
11	Tenderness	3fACD4HoiywCRscYBqOVYZ	1689783795.549112	1689784197.5676942	1689784197.8202724	1689784221.567955	1689784221.7986727	23.978400230407715	402	402.271160364151	0.271160364151001	426.2495605945587
12	Wonder	4HQN9u4uzSN3yPo5q5JJ4h	1689783795.549112	1689784239.5689237	1689784239.7617464	1689784263.5695114	1689784263.807277	24.045530557632446	444	444.21263432502747	0.21263432502746582	468.2581648826599
13	Wonder	7MIN37CiVP1lVjqKNmLMWk	1689783795.549112	1689784269.569986	1689784269.7373579	1689784293.5703802	1689784293.8100603	24.072702407836914	474	474.18824577331543	0.1882457733154297	498.26094818115234
14	Transcendence	3VcSwitmWZQZVgRnABpmik	1689783795.549112	1689784311.5720696	1689784311.8056095	1689784335.5722322	1689784335.9357839	24.13017439842224	516	516.2564973831177	0.2564973831176758	540.3866717815399
15	Transcendence	53LqxOALGMKL9XtDDF9IQG	1689783795.549112	1689784341.5724375	1689784341.8163688	1689784365.5734968	1689784365.8198075	24.003438711166382	546	546.2672567367554	0.2672567367553711	570.2706954479218
16	Tension	6cgIf3C3iwK9vN72PPtqaB	1689783795.549112	1689784383.5743587	1689784383.8405366	1689784407.5755613	1689784407.8338819	23.993345260620117	588	588.2914245128632	0.2914245128631592	612.2847697734833
17	Tension	6p0hrqwduCH0DbqyJfbKOV	1689783795.549112	1689784413.5759132	1689784413.8138206	1689784437.577429	1689784437.8092859	23.99546527862549	618	618.2647085189819	0.2647085189819336	642.2601737976074
