	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Nostalgia	7clUVcSOtkNWa58Gw5RfD4	1720799073.3267276	1720799085.328481	1720799085.613899	1720799109.3302162	1720799109.5560563	23.94215726852417	12	12.287171363830566	0.2871713638305664	36.229328632354736
1	Nostalgia	3yns3l9w4rYdJK4HAPmO3N	1720799073.3267276	1720799115.3312476	1720799115.6173732	1720799139.3325377	1720799139.7445037	24.12713050842285	42	42.290645599365234	0.2906455993652344	66.41777610778809
2	Joyful activation	0w5CRIokPrQAAq7OdIKesr	1720799073.3267276	1720799157.333444	1720799157.576103	1720799181.3350108	1720799181.5638726	23.987769603729248	84	84.24937534332275	0.2493753433227539	108.237144947052
3	Joyful activation	1SXqpEbNq7JTmavDPlx40R	1720799073.3267276	1720799187.3350496	1720799187.5672188	1720799211.3363845	1720799211.6180122	24.050793409347534	114	114.24049115180969	0.24049115180969238	138.29128456115723
4	Wonder	1dGXJHuSQ9v8SgKYAGBP4R	1720799073.3267276	1720799229.3365326	1720799229.6262693	1720799253.337763	1720799253.562271	23.936001777648926	156	156.29954171180725	0.299541711807251	180.23554348945618
5	Wonder	0WK7Grq7TS8gNHPNFqydmK	1720799073.3267276	1720799259.3391201	1720799259.5694487	1720799283.3406458	1720799283.7519543	24.18250560760498	186	186.24272108078003	0.2427210807800293	210.425226688385
6	Transcendence	53lOBWy0LP99Gb1ugvXHd9	1720799073.3267276	1720799301.341459	1720799301.5778782	1720799325.342535	1720799325.6297414	24.051863193511963	228	228.25115060806274	0.25115060806274414	252.3030138015747
7	Transcendence	6jXPZid0KLorvgIDP6TiSo	1720799073.3267276	1720799331.3432004	1720799331.6529622	1720799355.344323	1720799355.6366432	23.983680963516235	258	258.3262345790863	0.3262345790863037	282.30991554260254
8	Tension	1KfRJP0x5CnO4DmmYKfko5	1720799073.3267276	1720799373.3463516	1720799373.6444836	1720799397.3471704	1720799397.6344416	23.98995804786682	300	300.3177559375763	0.31775593757629395	324.3077139854431
9	Tension	3fleq5m89Tmdg10dcJslrt	1720799073.3267276	1720799403.348955	1720799403.5696502	1720799427.350785	1720799427.7000124	24.130362272262573	330	330.24292254447937	0.24292254447937012	354.37328481674194
10	Tenderness	51REyltyZa0nyob7Vpqomd	1720799073.3267276	1720799445.351566	1720799445.7089944	1720799469.3517807	1720799469.595974	23.886979579925537	372	372.38226675987244	0.3822667598724365	396.269246339798
11	Tenderness	754kgU5rWscRTfvlsuEwFp	1720799073.3267276	1720799475.3517888	1720799475.6007686	1720799499.3526974	1720799499.645955	24.045186519622803	402	402.2740409374237	0.27404093742370605	426.3192274570465
12	Power	7eA7zqW045T9BfzcC90NZl	1720799073.3267276	1720799517.3527715	1720799517.6318889	1720799541.3542516	1720799541.703949	24.072060108184814	444	444.3051612377167	0.3051612377166748	468.3772213459015
13	Power	7F6zGwyY7UgK41oINPYeys	1720799073.3267276	1720799547.3552854	1720799547.5934875	1720799571.3566716	1720799571.5795207	23.98603320121765	474	474.2667598724365	0.26675987243652344	498.2527930736542
14	Sadness	28cnXtME493VX9NOw9cIUh	1720799073.3267276	1720799589.356862	1720799589.6463585	1720799613.3580947	1720799613.6408756	23.9945170879364	516	516.3196308612823	0.31963086128234863	540.3141479492188
15	Sadness	2kfciuO0ZnQcPkHlWGTfQG	1720799073.3267276	1720799619.3581614	1720799619.6453054	1720799643.3594403	1720799643.6454947	24.000189304351807	546	546.3185777664185	0.31857776641845703	570.3187670707703
16	Peacefulness	0d3mX4cZEucXC2TNYtGpix	1720799073.3267276	1720799661.3608963	1720799661.596592	1720799685.3616633	1720799685.6455758	24.048983812332153	588	588.269864320755	0.2698643207550049	612.3188481330872
17	Peacefulness	3D9u1UpCD8FU7LZFsMvVZQ	1720799073.3267276	1720799691.3636012	1720799691.6975365	1720799715.3647704	1720799715.6531253	23.955588817596436	618	618.370808839798	0.37080883979797363	642.3263976573944
