	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Nostalgia	3qieYtq2M6PXHYPovh9iBl	1715184421.9428787	1715184433.9442177	1715184434.224108	1715184457.944435	1715184458.1653187	23.941210746765137	12	12.281229257583618	0.28122925758361816	36.222440004348755
1	Nostalgia	0UvQihfqIXMt8Bx8YOB0GP	1715184421.9428787	1715184463.944527	1715184464.1942005	1715184487.9445562	1715184488.2310858	24.036885261535645	42	42.25132179260254	0.25132179260253906	66.28820705413818
2	Tenderness	3ovjw5HZZv43SxTwApooCM	1715184421.9428787	1715184505.9452603	1715184506.1751463	1715184529.9452977	1715184530.2321513	24.057004928588867	84	84.23226761817932	0.2322676181793213	108.28927254676819
3	Tenderness	3mQFj3pdKyArVUQRTxhQcH	1715184421.9428787	1715184535.9470842	1715184536.2399163	1715184559.948539	1715184560.2469888	24.00707244873047	114	114.29703760147095	0.29703760147094727	138.30411005020142
4	Joyful activation	6gJdDnF2TzfA1WPMXuCa3x	1715184421.9428787	1715184577.9487643	1715184578.236762	1715184601.9503274	1715184602.3685443	24.131782293319702	156	156.29388332366943	0.2938833236694336	180.42566561698914
5	Joyful activation	1DojFoewF8FyySBMbZ9TXt	1715184421.9428787	1715184607.951382	1715184608.1762106	1715184631.952308	1715184632.246064	24.06985330581665	186	186.23333191871643	0.23333191871643066	210.30318522453308
6	Wonder	5T8EDUDqKcs6OSOwEsfqG7	1715184421.9428787	1715184649.9531908	1715184650.2366405	1715184673.9539886	1715184674.193577	23.956936597824097	228	228.2937617301941	0.2937617301940918	252.2506983280182
7	Wonder	4uUG5RXrOk84mYEfFvj3cK	1715184421.9428787	1715184679.9543145	1715184680.2102232	1715184703.9550204	1715184704.1858656	23.975642442703247	258	258.2673444747925	0.26734447479248047	282.2429869174957
8	Peacefulness	2LawezPeJhN4AWuSB0GtAU	1715184421.9428787	1715184721.9562938	1715184722.1770396	1715184745.9578626	1715184746.383362	24.20632243156433	300	300.23416090011597	0.2341609001159668	324.4404833316803
9	Peacefulness	3NfxSdJnVdon1axzloJgba	1715184421.9428787	1715184751.9583127	1715184752.192383	1715184775.9589307	1715184776.2553043	24.062921285629272	330	330.24950432777405	0.24950432777404785	354.3124256134033
10	Transcendence	0bXpmJyHHYPk6QBFj25bYF	1715184421.9428787	1715184793.9600668	1715184794.1948602	1715184817.9606907	1715184818.1972501	24.002389907836914	372	372.2519814968109	0.2519814968109131	396.2543714046478
11	Transcendence	7rBpjxstrSsuOLqnuOC028	1715184421.9428787	1715184823.9620826	1715184824.201185	1715184847.962691	1715184848.249069	24.047883987426758	402	402.2583062648773	0.25830626487731934	426.3061902523041
12	Tension	73SpzrcaHk0RQPFP73vqVR	1715184421.9428787	1715184865.9629776	1715184866.189674	1715184889.9647963	1715184890.3222382	24.132564306259155	444	444.2467951774597	0.2467951774597168	468.3793594837189
13	Tension	3xZMPZQYETEn4hjor3TR1A	1715184421.9428787	1715184895.9648461	1715184896.2499151	1715184919.9659078	1715184920.1917152	23.941800117492676	474	474.3070363998413	0.3070363998413086	498.248836517334
14	Power	2zYzyRzz6pRmhPzyfMEC8s	1715184421.9428787	1715184937.9677136	1715184938.2287638	1715184961.9678016	1715184962.197115	23.968351125717163	516	516.2858850955963	0.2858850955963135	540.2542362213135
15	Power	1TRr8Pp2uOqL24fMHpJyV3	1715184421.9428787	1715184967.9685574	1715184968.1995213	1715184991.9701908	1715184992.3169143	24.117393016815186	546	546.2566425800323	0.25664258003234863	570.3740355968475
16	Sadness	79JW4tqG3AigegX3sKRxgi	1715184421.9428787	1715185009.970319	1715185010.1995637	1715185033.970562	1715185034.4279091	24.22834539413452	588	588.2566850185394	0.2566850185394287	612.485030412674
17	Sadness	6vliK4BzAAeQjIaz27I2Db	1715184421.9428787	1715185039.971652	1715185040.2728293	1715185063.9724936	1715185064.2604375	23.987608194351196	618	618.3299505710602	0.32995057106018066	642.3175587654114
