	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Sadness	1ZWLWVqeEMWMKTlteS0yLH	1716908254.3670368	1716908266.3698702	1716908266.6964192	1716908290.3710704	1716908290.6088443	23.91242504119873	12	12.329382419586182	0.32938241958618164	36.24180746078491
1	Sadness	7gY3cyGcB2wnk2xDXiA0pe	1716908254.3670368	1716908296.3716679	1716908296.6546366	1716908320.373232	1716908320.806439	24.15180230140686	42	42.28759980201721	0.2875998020172119	66.43940210342407
2	Tension	6JbPyMiLnWaaKusic64bCq	1716908254.3670368	1716908338.3739438	1716908338.658687	1716908362.3748426	1716908362.6422868	23.98359966278076	84	84.29165029525757	0.29165029525756836	108.27524995803833
3	Tension	2nLtzopw4rPReszdYBJU6h	1716908254.3670368	1716908368.3751318	1716908368.673803	1716908392.3769653	1716908392.6717615	23.997958421707153	114	114.30676627159119	0.3067662715911865	138.30472469329834
4	Power	210JJAa9nJOgNa0YNrsT5g	1716908254.3670368	1716908410.378585	1716908410.6715155	1716908434.3790114	1716908434.6107886	23.93927311897278	156	156.3044786453247	0.30447864532470703	180.24375176429749
5	Power	37f4ITSlgPX81ad2EvmVQr	1716908254.3670368	1716908440.3802977	1716908440.6507566	1716908464.3819063	1716908464.7458906	24.095134019851685	186	186.2837197780609	0.2837197780609131	210.3788537979126
6	Nostalgia	3DamFFqW32WihKkTVlwTYQ	1716908254.3670368	1716908482.381966	1716908482.613868	1716908506.382209	1716908506.641738	24.027869939804077	228	228.24683117866516	0.24683117866516113	252.27470111846924
7	Nostalgia	1kmmKv3L4kGmoPu8aDFOmk	1716908254.3670368	1716908512.3840086	1716908512.631913	1716908536.384259	1716908536.6767902	24.044877290725708	258	258.26487612724304	0.264876127243042	282.30975341796875
8	Peacefulness	6pAXhOJIYqeogZP34vZBqO	1716908254.3670368	1716908554.385675	1716908554.6191266	1716908578.3871622	1716908578.6258807	24.006754159927368	300	300.2520897388458	0.2520897388458252	324.2588438987732
9	Peacefulness	7hDVYcQq6MxkdJGweuCtl9	1716908254.3670368	1716908584.3877294	1716908584.7988453	1716908608.3885915	1716908608.6807444	23.881899118423462	330	330.4318084716797	0.4318084716796875	354.31370759010315
10	Joyful activation	4kbj5MwxO1bq9wjT5g9HaA	1716908254.3670368	1716908626.3897827	1716908626.665357	1716908650.3912458	1716908650.6380785	23.972721338272095	372	372.2983202934265	0.29832029342651367	396.2710416316986
11	Joyful activation	6DYkLt9JPsf3obewkAnamY	1716908254.3670368	1716908656.393259	1716908656.7225063	1716908680.3937902	1716908680.7312872	24.00878095626831	402	402.35546946525574	0.3554694652557373	426.36425042152405
12	Tenderness	608R6FvRtAqf2dvgKMzebP	1716908254.3670368	1716908698.3938186	1716908698.6886861	1716908722.3957148	1716908722.6788359	23.99014973640442	444	444.321649312973	0.32164931297302246	468.31179904937744
13	Tenderness	74ewFAgDzRkhZ7EX2eLtfZ	1716908254.3670368	1716908728.3959563	1716908728.6292906	1716908752.3978143	1716908752.9188952	24.289604663848877	474	474.2622537612915	0.2622537612915039	498.5518584251404
14	Wonder	7kC5Q1Ai6RSshkuFXCcsMG	1716908254.3670368	1716908770.3995228	1716908770.6368346	1716908794.4003532	1716908794.7031438	24.066309213638306	516	516.2697978019714	0.26979780197143555	540.3361070156097
15	Wonder	4y5bvROuBDPr5fuwXbIBZR	1716908254.3670368	1716908800.4021018	1716908800.631844	1716908824.4024935	1716908824.8333452	24.20150113105774	546	546.2648072242737	0.26480722427368164	570.4663083553314
16	Transcendence	1AZjCZSGEjlxUufFQwSszF	1716908254.3670368	1716908842.4038339	1716908842.6401696	1716908866.404246	1716908866.6422822	24.00211262702942	588	588.2731328010559	0.2731328010559082	612.2752454280853
17	Transcendence	6nek1Nin9q48AVZcWs9e9D	1716908254.3670368	1716908872.4059813	1716908872.7056108	1716908896.4070787	1716908896.7000957	23.994484901428223	618	618.3385739326477	0.3385739326477051	642.3330588340759
